utci_thres,yt_90pop90utci,yt_20pop20utci,cdf_percpoint_chg_20_v90,yt_90pop20utci,cdf_percpoint_chg_20utci_v90,cdf_percent_chg_20utci_v90,yt_20pop90utci,cdf_percpoint_chg_20pop_v90,cdf_percent_chg_20pop_v90
-7,0.9020950481467772,0.9217088032953048,0.01961375514852759,0.9079582543421532,0.005863206195375947,0.29893338378990114,0.91449132431108,0.012396276164302833,0.6320195225458102
-6,0.8926166921895297,0.9126061831259236,0.019989490936393906,0.8983109441761583,0.005694251986628651,0.2848622811229975,0.905576003631468,0.012959311441938293,0.6483062266655274
-5,0.882226592405416,0.9027585660194732,0.02053197361405723,0.8879425706816656,0.005715978276249589,0.278394000678831,0.8957557419400983,0.013529149534682317,0.658930787122168
-4,0.8709846178155451,0.8920157147740874,0.021031096958542217,0.8767374280838495,0.00575281026830432,0.2735382885469365,0.8851038364945943,0.014119218679049195,0.6713496070548227
-3,0.858782202785915,0.8805754192693718,0.02179321648345678,0.8648994262579176,0.006117223472002609,0.28069392494890283,0.8734907951311541,0.014708592345239135,0.6749160848470633
-2,0.845576392116062,0.8684177870775595,0.022841394961497508,0.8523135974626556,0.006737205346593611,0.29495594984238704,0.8608856598524722,0.015309267736410281,0.670242240555635
-1,0.8315713653464302,0.8554659513050503,0.02389458595862015,0.8389732730592723,0.007401907712842104,0.30977342422507265,0.8474562259833365,0.015884860636906306,0.6647891143380839
0,0.8167152655241793,0.8416297497468328,0.02491448422265352,0.8247459802575146,0.008030714733335276,0.3223311653400932,0.8331489332668633,0.016433667742684066,0.6596029681297491
1,0.8009784832801605,0.8267490540547326,0.02577057077457212,0.8095182951622291,0.008539811882068538,0.3313784532275392,0.817915753587484,0.016937270307323504,0.6572330297020641
2,0.7844491195221588,0.810844225472489,0.026395105950330233,0.7932819402812173,0.008832820759058557,0.33463857942756425,0.8019011244248183,0.017452004902659524,0.6611833623816608
3,0.7670021445939167,0.7939081854807951,0.026906040886878424,0.7759246749715627,0.00892253037764601,0.33161810818467025,0.784954825285752,0.01795268069183531,0.6672360592669172
4,0.7488304206701064,0.7760815367045965,0.02725111603449004,0.7576946357044094,0.008864215034303013,0.3252789729082702,0.7672289935434567,0.01839857287335034,0.6751493351708756
5,0.729904939807125,0.7573246027028994,0.027419662895774355,0.7384353047613723,0.008530364954247305,0.3111039324834996,0.7487075822200869,0.018802642412961923,0.6857357249224095
6,0.7102735316516801,0.7379359332678493,0.027662401616169285,0.7184687131542243,0.00819518150254428,0.2962570501381924,0.7294514109414987,0.019177879289818622,0.6932832353431211
7,0.690096850920892,0.7179104908049597,0.02781363988406771,0.6978367337344543,0.007739882813562304,0.278276516335997,0.7096056781728826,0.019508827251990546,0.7014122327500778
