loc_level,region_prov_name,year_1990_utci_23,year_1990_utci_26,year_1990_utci_29,year_2020_utci_23,year_2020_utci_26,year_2020_utci_29,cdf_percpoint_chg_utci_23,cdf_percpoint_chg_utci_26,cdf_percpoint_chg_utci_29,cdf_percent_chg_utci_23,cdf_percent_chg_utci_26,cdf_percent_chg_utci_29
province,Jilin,0.10991554274281808,0.06923291380419153,0.03580743820206916,0.13025171379024486,0.08603288554407669,0.04983284946567133,0.020336171047426785,0.016799971739885164,0.014025411263602176,0.18501633654313696,0.24265874158351622,0.3916898825448984
province,Liaoning,0.1440859438883834,0.0930143535077654,0.05267066665252661,0.16216280389677315,0.1056351625131511,0.05946694280548841,0.01807686000838976,0.012620809005385702,0.0067962761529618,0.1254588721186645,0.13568668199507555,0.1290334181224149
province,Neimenggu,0.1010875020723639,0.0639978719051707,0.03336300959628239,0.120183580166539,0.08165611190269366,0.04625032748993041,0.0190960780941751,0.01765823999752296,0.012887317893648019,0.1889064197125486,0.275919174682686,0.38627564028528294
province,Ningxia,0.12448865606356316,0.08252939655244401,0.04639368750533368,0.14315448976630207,0.10077787835945087,0.06156728792235766,0.018665833702738915,0.01824848180700686,0.01517360041702398,0.14994003705211706,0.22111493079209305,0.3270617455290558
province,Qinghai,0.04589981668921302,0.01400541989846629,0.00134361326768002,0.04165104554916739,0.01283644926839285,0.00156674268563357,-0.004248771140045633,-0.0011689706300734414,2.231294179535499e-4,-0.09256618972607232,-0.08346558964658056,0.16606669740528932
province,Shaanxi,0.18770296156354305,0.12814339910203035,0.07971100202472595,0.198718172154579,0.13585474969832778,0.0875815056778276,0.01101521059103594,0.007711350596297434,0.007870503653101657,0.05868426634977181,0.06017750933981002,0.09873798413248233
province,Shandong,0.24937664523259667,0.17375964173070305,0.1127547475232393,0.2606083735354395,0.18633796536461739,0.1264763664668702,0.011231728302842803,0.01257832363391434,0.013721618943630887,0.04503921484855501,0.0723892125273171,0.12169437868505531
province,Shanghai,0.2621127110285553,0.16531733949714136,0.0994753495726533,0.3022489426172667,0.20775835089988665,0.11765701165764723,0.04013623158871138,0.04244101140274528,0.01818166208499393,0.15312584968204315,0.2567245004779379,0.1827755535728445
province,Shanxi,0.15778272715039174,0.10389380881319032,0.05837426012764712,0.17103797187204023,0.11728242102703625,0.07066737631611374,0.01325524472164849,0.013388612213845921,0.012293116188466617,0.08400947911753458,0.12886823927997246,0.21059138328409188
province,Sichuan_Chongqing,0.2778717955380778,0.1846405435670109,0.11701109802000571,NA,NA,NA,NA,NA,NA,NA,NA,NA
province,Tianjin,0.22969089723790864,0.15962999055881624,0.10091252956506502,0.2520350570620199,0.18192934998082813,0.12517499527082304,0.022344159824111254,0.02229935942201189,0.02426246570575802,0.09727925700498126,0.13969404711450892,0.2404306562359473
province,Xinjiang,0.15425839645562406,0.1062769059406511,0.0673698165451086,0.18297858794654712,0.13479037899146012,0.09246317662447,0.028720191490923058,0.02851347305080902,0.0250933600793614,0.18618235474258332,0.2682941585327294,0.37247184816897516
province,Xizang,0.0130782674387181,9.927579770537057e-4,1.1631595768047537e-5,0.01374308597435861,0.00103111612955532,2.9989253731805332e-5,6.648185356405104e-4,3.8358152501614257e-5,1.8357657963757795e-5,0.05083383856123945,0.03863796956379347,1.5782579045763456
province,Yunnan,0.1911843391915207,0.11017969336355912,0.04590729093437126,0.219108366549985,0.13289084022918948,0.06024440330602444,0.027924027358464304,0.02271114686563036,0.01433711237165318,0.1460581315213855,0.2061282453445442,0.3123057814966563
province,Zhejiang,0.3338445081980089,0.22554878445360388,0.1341134929453403,0.3652166341264652,0.26237329156751876,0.155712020922048,0.031372125928456285,0.036824507113914884,0.021598527976707693,0.0939722689997013,0.16326626278710807,0.16104664416957998
province,Sichuan,NA,NA,NA,0.29951106828283375,0.2023308070460442,0.12475977244404532,NA,NA,NA,NA,NA,NA
