stats_type,popgrp,age_group_m3,Prov_En_1990,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,43,0_14,Jiangsu,0.00900905712673314,0.36350037951056663,0.3705054118115115,21
within-group,46,0_14,Jiangxi,0.00716065594808189,0.4856190840077988,0.3705054118115115,21
within-group,49,0_14,Jilin,0.00184261845024983,0.16647763678773347,0.3705054118115115,21
within-group,52,0_14,Liaoning,0.00341922056900947,0.2046538701574056,0.3705054118115115,21
within-group,55,0_14,Ningxia,0.00105941200851006,0.17379467622798497,0.3705054118115115,21
within-group,58,0_14,Qinghai,8.897853087352225e-4,0.06872522624380903,0.3705054118115115,21
within-group,61,0_14,Shaanxi,0.00494501940169968,0.2521521492313117,0.3705054118115115,21
within-group,64,0_14,Shandong,0.0132681820105458,0.3156682842500318,0.3705054118115115,21
within-group,67,0_14,Shanghai,0.00175819768793889,0.3546925305090196,0.3705054118115115,21
within-group,70,0_14,Shanxi,0.00408244315435452,0.2128043303975954,0.3705054118115115,21
within-group,73,0_14,Sichuan,0.01337774208945019,0.3647585079411657,0.3705054118115115,21
within-group,76,0_14,Tianjin,0.00134811687091403,0.3046774227156095,0.3705054118115115,21
within-group,79,0_14,Tibet,6.44329308226729e-4,0.0371572051505353,0.3705054118115115,21
within-group,82,0_14,Xinjiang,0.0041901189572254496,0.2190415193901027,0.3705054118115115,21
within-group,85,0_14,Yunnan,0.006666392519298,0.29045446981508893,0.3705054118115115,21
within-group,88,0_14,Zhejiang,0.00606367244250025,0.4258850900583758,0.3705054118115115,21
within-group,1,0_14,Anhui,0.00815903213514205,0.36051468022819166,0.3426838903768858,22
within-group,4,0_14,Beijing,0.00187020855252295,0.2600375451276306,0.3426838903768858,22
within-group,7,0_14,Fujian,0.00576178991622385,0.4991951463878936,0.3426838903768858,22
within-group,10,0_14,Gansu,0.00347206328980528,0.12935650704004217,0.3426838903768858,22
within-group,13,0_14,Guangdong,0.01713953789737434,0.6031364133215288,0.3426838903768858,22
within-group,16,0_14,Guangxi,0.00854635802776593,0.5427925315782458,0.3426838903768858,22
within-group,19,0_14,Guizhou,0.00666968621359777,0.23701122369131464,0.3426838903768858,22
within-group,22,0_14,Hainan,0.00145309002585493,0.7000968350305294,0.3426838903768858,22
within-group,25,0_14,Hebei,0.01047287258744416,0.28173678457528667,0.3426838903768858,22
within-group,28,0_14,Heilongjiang,0.00234773793585919,0.1343766001839932,0.3426838903768858,22
within-group,31,0_14,Henan,0.0158942652598008,0.3297848867101156,0.3426838903768858,22
within-group,34,0_14,Hubei,0.0067778895560246,0.37695380181652466,0.3426838903768858,22
