stats_type,popgrp,age_group_m3,Prov_En_1990,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,34,0_14,Hubei,0.0067778895560246,0.996633723235847,0.964984498145508,-15
within-group,37,0_14,Hunan,0.00922473636990096,0.9975578100669504,0.964984498145508,-15
within-group,40,0_14,Inner Mongolia,0.0023695344847058,0.7665281278818064,0.964984498145508,-15
within-group,43,0_14,Jiangsu,0.00900905712673314,0.9900809070197496,0.964984498145508,-15
within-group,46,0_14,Jiangxi,0.00716065594808189,0.998851347906801,0.964984498145508,-15
within-group,49,0_14,Jilin,0.00184261845024983,0.7682965607793861,0.964984498145508,-15
within-group,52,0_14,Liaoning,0.00341922056900947,0.8414022066244531,0.964984498145508,-15
within-group,55,0_14,Ningxia,0.00105941200851006,0.8871025638216631,0.964984498145508,-15
within-group,58,0_14,Qinghai,8.897853087352225e-4,0.8145322889308704,0.964984498145508,-15
within-group,61,0_14,Shaanxi,0.00494501940169968,0.9727118647495728,0.964984498145508,-15
within-group,64,0_14,Shandong,0.0132681820105458,0.9773896079029952,0.964984498145508,-15
within-group,67,0_14,Shanghai,0.00175819768793889,0.9908010775130112,0.964984498145508,-15
within-group,70,0_14,Shanxi,0.00408244315435452,0.9295131616079604,0.964984498145508,-15
within-group,73,0_14,Sichuan,0.01337774208945019,0.995887521151556,0.964984498145508,-15
within-group,76,0_14,Tianjin,0.00134811687091403,0.9404222466133964,0.964984498145508,-15
within-group,79,0_14,Tibet,6.44329308226729e-4,0.7615788285983746,0.964984498145508,-15
within-group,82,0_14,Xinjiang,0.0041901189572254496,0.8688608308391219,0.964984498145508,-15
within-group,85,0_14,Yunnan,0.006666392519298,0.9997430667566424,0.964984498145508,-15
within-group,88,0_14,Zhejiang,0.00606367244250025,0.9965222018610822,0.964984498145508,-15
within-group,1,0_14,Anhui,0.00815903213514205,0.991389671759662,0.9604038781310996,-14
within-group,4,0_14,Beijing,0.00187020855252295,0.924237640519008,0.9604038781310996,-14
within-group,7,0_14,Fujian,0.00576178991622385,0.9997966438736547,0.9604038781310996,-14
within-group,10,0_14,Gansu,0.00347206328980528,0.909327328079064,0.9604038781310996,-14
within-group,13,0_14,Guangdong,0.01715405353434751,0.999772873494858,0.9604038781310996,-14
within-group,16,0_14,Guangxi,0.00854635802776593,0.9998556338304848,0.9604038781310996,-14
within-group,19,0_14,Guizhou,0.00666968621359777,0.9981344232184666,0.9604038781310996,-14
within-group,22,0_14,Hainan,0.00143857438888176,1,0.9604038781310996,-14
within-group,25,0_14,Hebei,0.01047287258744416,0.9443594485837016,0.9604038781310996,-14
within-group,28,0_14,Heilongjiang,0.00234773793585919,0.7245268033002008,0.9604038781310996,-14
within-group,31,0_14,Henan,0.0158942652598008,0.9889924770511708,0.9604038781310996,-14
within-group,34,0_14,Hubei,0.0067778895560246,0.9955926978875554,0.9604038781310996,-14
within-group,37,0_14,Hunan,0.00922473636990096,0.996775383311718,0.9604038781310996,-14
within-group,40,0_14,Inner Mongolia,0.0023695344847058,0.7501292546738064,0.9604038781310996,-14
within-group,43,0_14,Jiangsu,0.00900905712673314,0.9870681794147316,0.9604038781310996,-14
