stats_type,popgrp,age_group_m3,region_name,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,1,0_14,Central,0.08262021627865404,0.990832090827636,0.966488190598266,-18
within-group,4,0_14,Eastern,0.09092717187924894,0.9877419217769526,0.966488190598266,-18
within-group,7,0_14,Northeastern,0.02209274269820576,0.7976024782508442,0.966488190598266,-18
within-group,10,0_14,Western,0.0812284486324949,0.967027859375619,0.966488190598266,-18
within-group,1,0_14,Central,0.08262021627865404,0.9887605314231788,0.9625525548239487,-17
within-group,4,0_14,Eastern,0.09092717187924894,0.9844528855342448,0.9625525548239487,-17
within-group,7,0_14,Northeastern,0.02209274269820576,0.784064758013687,0.9625525548239487,-17
within-group,10,0_14,Western,0.0812284486324949,0.9632909648635614,0.9625525548239487,-17
within-group,1,0_14,Central,0.08262021627865404,0.986217503617115,0.9581091278137042,-16
within-group,4,0_14,Eastern,0.09092717187924894,0.9803086900947686,0.9581091278137042,-16
within-group,7,0_14,Northeastern,0.02209274269820576,0.7703447171833254,0.9581091278137042,-16
within-group,10,0_14,Western,0.0812284486324949,0.9592907728481898,0.9581091278137042,-16
within-group,1,0_14,Central,0.08262021627865404,0.9831948289103762,0.9531225698600102,-15
within-group,4,0_14,Eastern,0.09092717187924894,0.9753587824124744,0.9531225698600102,-15
within-group,7,0_14,Northeastern,0.02209274269820576,0.7559505600515042,0.9531225698600102,-15
within-group,10,0_14,Western,0.0812284486324949,0.9550019144563694,0.9531225698600102,-15
within-group,1,0_14,Central,0.08262021627865404,0.9797042814970576,0.9475442646412298,-14
within-group,4,0_14,Eastern,0.09092717187924894,0.969369290741535,0.9475442646412298,-14
within-group,7,0_14,Northeastern,0.02209274269820576,0.7413990874980396,0.9475442646412298,-14
within-group,10,0_14,Western,0.0812284486324949,0.950441396093458,0.9475442646412298,-14
within-group,1,0_14,Central,0.08262021627865404,0.9755937551481968,0.9412877484586688,-13
within-group,4,0_14,Eastern,0.09092717187924894,0.9623388544876572,0.9412877484586688,-13
within-group,7,0_14,Northeastern,0.02209274269820576,0.7258501083743354,0.9412877484586688,-13
within-group,10,0_14,Western,0.0812284486324949,0.9456628885315445,0.9412877484586688,-13
within-group,1,0_14,Central,0.08262021627865404,0.970647931808326,0.9343988756752484,-12
within-group,4,0_14,Eastern,0.09092717187924894,0.9544340739729382,0.9343988756752484,-12
within-group,7,0_14,Northeastern,0.02209274269820576,0.7098074394824603,0.9343988756752484,-12
within-group,10,0_14,Western,0.0812284486324949,0.9406927032469355,0.9343988756752484,-12
within-group,1,0_14,Central,0.08262021627865404,0.9650986999258706,0.9269562045030122,-11
within-group,4,0_14,Eastern,0.09092717187924894,0.9456409967235572,0.9269562045030122,-11
within-group,7,0_14,Northeastern,0.02209274269820576,0.6936753713492473,0.9269562045030122,-11
within-group,10,0_14,Western,0.0812284486324949,0.9355437340720208,0.9269562045030122,-11
within-group,1,0_14,Central,0.08262021627865404,0.9588795664224896,0.9189972186946546,-10
within-group,4,0_14,Eastern,0.09092717187924894,0.9361918393282408,0.9189972186946546,-10
within-group,7,0_14,Northeastern,0.02209274269820576,0.6776492552255002,0.9189972186946546,-10
within-group,10,0_14,Western,0.0812284486324949,0.9301157000935532,0.9189972186946546,-10
within-group,1,0_14,Central,0.08262021627865404,0.951718336111574,0.9104907528244484,-9
within-group,4,0_14,Eastern,0.09092717187924894,0.9260890660581174,0.9104907528244484,-9
within-group,7,0_14,Northeastern,0.02209274269820576,0.6620973036618591,0.9104907528244484,-9
within-group,10,0_14,Western,0.0812284486324949,0.9244574289176428,0.9104907528244484,-9
within-group,1,0_14,Central,0.08262021627865404,0.9437367724177548,0.9014527794966734,-8
within-group,4,0_14,Eastern,0.09092717187924894,0.9154364498873286,0.9014527794966734,-8
within-group,7,0_14,Northeastern,0.02209274269820576,0.646454321227421,0.9014527794966734,-8
within-group,10,0_14,Western,0.0812284486324949,0.9185281340211624,0.9014527794966734,-8
within-group,1,0_14,Central,0.08262021627865404,0.9348168920778408,0.8919429313587565,-7
within-group,4,0_14,Eastern,0.09092717187924894,0.9044809300144436,0.8919429313587565,-7
within-group,7,0_14,Northeastern,0.02209274269820576,0.6309312324524393,0.8919429313587565,-7
within-group,10,0_14,Western,0.0812284486324949,0.9122434523064724,0.8919429313587565,-7
within-group,1,0_14,Central,0.08262021627865404,0.9246023045594316,0.8817094423130912,-6
within-group,4,0_14,Eastern,0.09092717187924894,0.8930051481717387,0.8817094423130912,-6
within-group,7,0_14,Northeastern,0.02209274269820576,0.6155043203352506,0.8817094423130912,-6
within-group,10,0_14,Western,0.0812284486324949,0.9054039165760434,0.8817094423130912,-6
within-group,1,0_14,Central,0.08262021627865404,0.9128880518898328,0.8707791821212332,-5
within-group,4,0_14,Eastern,0.09092717187924894,0.8812435938305936,0.8707791821212332,-5
within-group,7,0_14,Northeastern,0.02209274269820576,0.6001295647080956,0.8707791821212332,-5
within-group,10,0_14,Western,0.0812284486324949,0.8980362112194546,0.8707791821212332,-5
within-group,1,0_14,Central,0.08262021627865404,0.8997187699948532,0.8591707766299973,-4
within-group,4,0_14,Eastern,0.09092717187924894,0.8693911799428427,0.8591707766299973,-4
within-group,7,0_14,Northeastern,0.02209274269820576,0.5846760271434683,0.8591707766299973,-4
within-group,10,0_14,Western,0.0812284486324949,0.8898727530769504,0.8591707766299973,-4
within-group,1,0_14,Central,0.08262021627865404,0.8852881001017846,0.8468058371367989,-3
within-group,4,0_14,Eastern,0.09092717187924894,0.8571684780798406,0.8468058371367989,-3
within-group,7,0_14,Northeastern,0.02209274269820576,0.5694004325526726,0.8468058371367989,-3
within-group,10,0_14,Western,0.0812284486324949,0.8807542348691911,0.8468058371367989,-3
within-group,1,0_14,Central,0.08262021627865404,0.8698083751280212,0.8337409971739672,-2
within-group,4,0_14,Eastern,0.09092717187924894,0.8446187282728431,0.8337409971739672,-2
within-group,7,0_14,Northeastern,0.02209274269820576,0.554575795032871,0.8337409971739672,-2
within-group,10,0_14,Western,0.0812284486324949,0.8705508622742532,0.8337409971739672,-2
within-group,1,0_14,Central,0.08262021627865404,0.85300142194146,0.8197961853299812,-1
within-group,4,0_14,Eastern,0.09092717187924894,0.8316917723819767,0.8197961853299812,-1
within-group,7,0_14,Northeastern,0.02209274269820576,0.5399240619830264,0.8197961853299812,-1
within-group,10,0_14,Western,0.0812284486324949,0.8591415736934115,0.8197961853299812,-1
within-group,1,0_14,Central,0.08262021627865404,0.83534807404279,0.8050296519064118,0
within-group,4,0_14,Eastern,0.09092717187924894,0.8184236925914845,0.8050296519064118,0
within-group,7,0_14,Northeastern,0.02209274269820576,0.525071259951842,0.8050296519064118,0
within-group,10,0_14,Western,0.0812284486324949,0.8462267901150756,0.8050296519064118,0
within-group,1,0_14,Central,0.08262021627865404,0.8166860336735589,0.7894028397669337,1
within-group,4,0_14,Eastern,0.09092717187924894,0.8046235591957263,0.7894028397669337,1
within-group,7,0_14,Northeastern,0.02209274269820576,0.5102243404700985,0.7894028397669337,1
within-group,10,0_14,Western,0.0812284486324949,0.8319740990881838,0.7894028397669337,1
within-group,1,0_14,Central,0.08262021627865404,0.7971820954849175,0.7727727415905827,2
within-group,4,0_14,Eastern,0.09092717187924894,0.789897657355889,0.7727727415905827,2
within-group,7,0_14,Northeastern,0.02209274269820576,0.4952983328881111,0.7727727415905827,2
within-group,10,0_14,Western,0.0812284486324949,0.8162565308196605,0.7727727415905827,2
within-group,1,0_14,Central,0.08262021627865404,0.7767399384047065,0.7551798272107856,3
within-group,4,0_14,Eastern,0.09092717187924894,0.7745945430639464,0.7551798272107856,3
within-group,7,0_14,Northeastern,0.02209274269820576,0.4801923534280244,0.7551798272107856,3
within-group,10,0_14,Western,0.0812284486324949,0.7989437363559319,0.7551798272107856,3
within-group,1,0_14,Central,0.08262021627865404,0.7552735950954004,0.7364132091510744,4
within-group,4,0_14,Eastern,0.09092717187924894,0.758512031703229,0.7364132091510744,4
within-group,7,0_14,Northeastern,0.02209274269820576,0.4645504572580392,0.7364132091510744,4
within-group,10,0_14,Western,0.0812284486324949,0.7796433990975072,0.7364132091510744,4
within-group,1,0_14,Central,0.08262021627865404,0.733309130828749,0.7168028200636617,5
within-group,4,0_14,Eastern,0.09092717187924894,0.7418045591050718,0.7168028200636617,5
within-group,7,0_14,Northeastern,0.02209274269820576,0.4486114143219818,0.7168028200636617,5
within-group,10,0_14,Western,0.0812284486324949,0.7586554797247392,0.7168028200636617,5
within-group,1,0_14,Central,0.08262021627865404,0.7109120280331581,0.6962007829808705,6
within-group,4,0_14,Eastern,0.09092717187924894,0.724226184383408,0.6962007829808705,6
within-group,7,0_14,Northeastern,0.02209274269820576,0.43255575187732886,0.6962007829808705,6
within-group,10,0_14,Western,0.0812284486324949,0.7358618267870728,0.6962007829808705,6
within-group,1,0_14,Central,0.08262021627865404,0.6882166269956214,0.6747582923673213,7
within-group,4,0_14,Eastern,0.09092717187924894,0.7059140788146689,0.6747582923673213,7
within-group,7,0_14,Northeastern,0.02209274269820576,0.41618917382507575,0.6747582923673213,7
within-group,10,0_14,Western,0.0812284486324949,0.7113747110453587,0.6747582923673213,7
within-group,1,0_14,Central,0.08262021627865404,0.6655415827946238,0.6528551224267125,8
within-group,4,0_14,Eastern,0.09092717187924894,0.6872003688890171,0.6528551224267125,8
within-group,7,0_14,Northeastern,0.02209274269820576,0.3997843380826066,0.6528551224267125,8
within-group,10,0_14,Western,0.0812284486324949,0.6855054825871493,0.6528551224267125,8
within-group,1,0_14,Central,0.08262021627865404,0.6428307037955728,0.6304143898437768,9
within-group,4,0_14,Eastern,0.09092717187924894,0.6681357799452852,0.6304143898437768,9
within-group,7,0_14,Northeastern,0.02209274269820576,0.38334651465899694,0.6304143898437768,9
within-group,10,0_14,Western,0.0812284486324949,0.6580757600297878,0.6304143898437768,9
within-group,1,0_14,Central,0.08262021627865404,0.6201717643573895,0.6074629515049481,10
within-group,4,0_14,Eastern,0.09092717187924894,0.6481824347422038,0.6074629515049481,10
within-group,7,0_14,Northeastern,0.02209274269820576,0.36676418775034897,0.6074629515049481,10
within-group,10,0_14,Western,0.0812284486324949,0.6298821486913289,0.6074629515049481,10
within-group,1,0_14,Central,0.08262021627865404,0.5979925308549023,0.5841969891836588,11
within-group,4,0_14,Eastern,0.09092717187924894,0.6275659214062945,0.5841969891836588,11
within-group,7,0_14,Northeastern,0.02209274269820576,0.34995310670415025,0.5841969891836588,11
within-group,10,0_14,Western,0.0812284486324949,0.600866977105047,0.5841969891836588,11
within-group,1,0_14,Central,0.08262021627865404,0.5761795706947078,0.5606358713046625,12
within-group,4,0_14,Eastern,0.09092717187924894,0.6064388551257336,0.5606358713046625,12
within-group,7,0_14,Northeastern,0.02209274269820576,0.3326799331776513,0.5606358713046625,12
within-group,10,0_14,Western,0.0812284486324949,0.5711897847889442,0.5606358713046625,12
within-group,1,0_14,Central,0.08262021627865404,0.5543273270851041,0.5368680328733624,13
within-group,4,0_14,Eastern,0.09092717187924894,0.5848159638332182,0.5368680328733624,13
within-group,7,0_14,Northeastern,0.02209274269820576,0.3151405109906788,0.5368680328733624,13
within-group,10,0_14,Western,0.0812284486324949,0.5413625274780269,0.5368680328733624,13
within-group,1,0_14,Central,0.08262021627865404,0.5321211957471331,0.5127441581357469,14
within-group,4,0_14,Eastern,0.09092717187924894,0.5627437065871764,0.5127441581357469,14
within-group,7,0_14,Northeastern,0.02209274269820576,0.2969275520879722,0.5127441581357469,14
within-group,10,0_14,Western,0.0812284486324949,0.5111647093583698,0.5127441581357469,14
within-group,1,0_14,Central,0.08262021627865404,0.5089569963807685,0.4879034492797922,15
within-group,4,0_14,Eastern,0.09092717187924894,0.5399412391771077,0.4879034492797922,15
within-group,7,0_14,Northeastern,0.02209274269820576,0.27824301499760784,0.4879034492797922,15
within-group,10,0_14,Western,0.0812284486324949,0.4802077936575286,0.4879034492797922,15
within-group,1,0_14,Central,0.08262021627865404,0.485228918283849,0.46253815223453687,16
within-group,4,0_14,Eastern,0.09092717187924894,0.5165892405571596,0.46253815223453687,16
within-group,7,0_14,Northeastern,0.02209274269820576,0.25882726866613254,0.46253815223453687,16
within-group,10,0_14,Western,0.0812284486324949,0.4487890626664944,0.46253815223453687,16
within-group,1,0_14,Central,0.08262021627865404,0.4606538482680303,0.43679145897422006,17
within-group,4,0_14,Eastern,0.09092717187924894,0.49291752430830094,0.43679145897422006,17
within-group,7,0_14,Northeastern,0.02209274269820576,0.23896509983122124,0.43679145897422006,17
within-group,10,0_14,Western,0.0812284486324949,0.41733052607180793,0.43679145897422006,17
within-group,1,0_14,Central,0.08262021627865404,0.4353162247930998,0.4106170554725798,18
within-group,4,0_14,Eastern,0.09092717187924894,0.46849424788171984,0.4106170554725798,18
within-group,7,0_14,Northeastern,0.02209274269820576,0.21903415426569448,0.4106170554725798,18
within-group,10,0_14,Western,0.0812284486324949,0.3860812046132863,0.4106170554725798,18
within-group,1,0_14,Central,0.08262021627865404,0.40937013763148566,0.3841290534017685,19
within-group,4,0_14,Eastern,0.09092717187924894,0.44350716369027066,0.3841290534017685,19
within-group,7,0_14,Northeastern,0.02209274269820576,0.1982964428940941,0.3841290534017685,19
within-group,10,0_14,Western,0.0812284486324949,0.35516792363768496,0.3841290534017685,19
within-group,1,0_14,Central,0.08262021627865404,0.3830942431843196,0.3577391405682323,20
within-group,4,0_14,Eastern,0.09092717187924894,0.4178388452443458,0.3577391405682323,20
within-group,7,0_14,Northeastern,0.02209274269820576,0.1775496252551313,0.3577391405682323,20
within-group,10,0_14,Western,0.0812284486324949,0.3255825530302594,0.3577391405682323,20
within-group,1,0_14,Central,0.08262021627865404,0.3571654157817165,0.33143535883703773,21
within-group,4,0_14,Eastern,0.09092717187924894,0.3913428678923315,0.33143535883703773,21
within-group,7,0_14,Northeastern,0.02209274269820576,0.15723491736654815,0.33143535883703773,21
within-group,10,0_14,Western,0.0812284486324949,0.2968728370080765,0.33143535883703773,21
within-group,1,0_14,Central,0.08262021627865404,0.3309432430889099,0.30464239619394035,22
within-group,4,0_14,Eastern,0.09092717187924894,0.3631694922649582,0.30464239619394035,22
within-group,7,0_14,Northeastern,0.02209274269820576,0.13810720604896048,0.30464239619394035,22
within-group,10,0_14,Western,0.0812284486324949,0.2684897557339687,0.30464239619394035,22
within-group,1,0_14,Central,0.08262021627865404,0.30338539863774494,0.27716420063317837,23
within-group,4,0_14,Eastern,0.09092717187924894,0.3335337872989737,0.27716420063317837,23
within-group,7,0_14,Northeastern,0.02209274269820576,0.12055041582989784,0.27716420063317837,23
