stats_type,popgrp,age_group_m3,Prov_En,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,4,0_14,Beijing,0.00192930046313546,0.5990151353250609,0.7263213397735674,5
within-group,7,0_14,Fujian,0.00836499261741459,0.9146476677800665,0.7263213397735674,5
within-group,10,0_14,Gansu,0.00553588132726672,0.5552756500715824,0.7263213397735674,5
within-group,13,0_14,Guangdong,0.01662764777845244,0.9533606370474964,0.7263213397735674,5
within-group,16,0_14,Guangxi,0.01247369584553776,0.9399542891898048,0.7263213397735674,5
within-group,19,0_14,Guizhou,0.00936294712703839,0.7995508811076943,0.7263213397735674,5
within-group,22,0_14,Hainan,0.00191883150879834,0.996909236935714,0.7263213397735674,5
within-group,25,0_14,Hebei,0.01568965512254203,0.6284869107965565,0.7263213397735674,5
within-group,28,0_14,Heilongjiang,0.00828162665775682,0.4375346502119194,0.7263213397735674,5
within-group,31,0_14,Henan,0.02215767763694521,0.6922837281894458,0.7263213397735674,5
within-group,34,0_14,Hubei,0.01358416131756542,0.7672033150375409,0.7263213397735674,5
within-group,37,0_14,Hunan,0.01500601692425047,0.8125620414705146,0.7263213397735674,5
within-group,40,0_14,Jiangsu,0.01408569897696787,0.6949504160265193,0.7263213397735674,5
within-group,43,0_14,Jiangxi,0.0106032824765449,0.8476001917391659,0.7263213397735674,5
within-group,46,0_14,Jilin,0.0057061550879989,0.4609789858316694,0.7263213397735674,5
within-group,49,0_14,Liaoning,0.00810496095245003,0.5153066205879402,0.7263213397735674,5
within-group,52,0_14,Neimenggu,0.00539920110087013,0.4272106305948972,0.7263213397735674,5
within-group,55,0_14,Ningxia,0.00138936690749664,0.5222499148417535,0.7263213397735674,5
within-group,58,0_14,Qinghai,0.00121246590503282,0.4242949375924088,0.7263213397735674,5
within-group,61,0_14,Shaanxi,0.00839880110366433,0.6671075311282363,0.7263213397735674,5
within-group,64,0_14,Shandong,0.01985728082783897,0.6420369086787733,0.7263213397735674,5
within-group,67,0_14,Shanghai,0.00215114145344414,0.7087770454174723,0.7263213397735674,5
within-group,70,0_14,Shanxi,0.0071604878943872,0.5884882833591916,0.7263213397735674,5
within-group,73,0_14,Sichuan,0.02198023969698392,0.8619826812627264,0.7263213397735674,5
within-group,76,0_14,Tianjin,0.00176456591592749,0.611468803851913,0.7263213397735674,5
within-group,79,0_14,Xinjiang,0.00443144600832027,0.5291060601915459,0.7263213397735674,5
within-group,82,0_14,Xizang,6.912305121974087e-4,0.3638640506975265,0.7263213397735674,5
within-group,85,0_14,Yunnan,0.01035317309808648,0.8498304844637095,0.7263213397735674,5
within-group,88,0_14,Zhejiang,0.00853805721472757,0.817175036078073,0.7263213397735674,5
within-group,1,0_14,Anhui,0.01410859002896082,0.702130192724963,0.7065560179178567,6
within-group,4,0_14,Beijing,0.00192930046313546,0.5769753025837543,0.7065560179178567,6
within-group,7,0_14,Fujian,0.00836499261741459,0.8978371781180763,0.7065560179178567,6
within-group,10,0_14,Gansu,0.00553588132726672,0.5293146773298835,0.7065560179178567,6
within-group,13,0_14,Guangdong,0.01662764777845244,0.9435183126837788,0.7065560179178567,6
within-group,16,0_14,Guangxi,0.01247369584553776,0.9286167746931449,0.7065560179178567,6
within-group,19,0_14,Guizhou,0.00936294712703839,0.7709728626679437,0.7065560179178567,6
within-group,22,0_14,Hainan,0.00191883150879834,0.9946058415145532,0.7065560179178567,6
within-group,25,0_14,Hebei,0.01568965512254203,0.6079913528173735,0.7065560179178567,6
within-group,28,0_14,Heilongjiang,0.00828162665775682,0.4210721079208567,0.7065560179178567,6
within-group,31,0_14,Henan,0.02215767763694521,0.6738491511267182,0.7065560179178567,6
within-group,34,0_14,Hubei,0.01358416131756542,0.7466617974269688,0.7065560179178567,6
within-group,37,0_14,Hunan,0.01500601692425047,0.7908495228959802,0.7065560179178567,6
within-group,40,0_14,Jiangsu,0.01408569897696787,0.6762573647104589,0.7065560179178567,6
within-group,43,0_14,Jiangxi,0.0106032824765449,0.82634191130708,0.7065560179178567,6
within-group,46,0_14,Jilin,0.0057061550879989,0.4432489971614992,0.7065560179178567,6
within-group,49,0_14,Liaoning,0.00810496095245003,0.4963065360492598,0.7065560179178567,6
within-group,52,0_14,Neimenggu,0.00539920110087013,0.4093622998893731,0.7065560179178567,6
within-group,55,0_14,Ningxia,0.00138936690749664,0.49804117994028985,0.7065560179178567,6
within-group,58,0_14,Qinghai,0.00121246590503282,0.4003950295962069,0.7065560179178567,6
within-group,61,0_14,Shaanxi,0.00839880110366433,0.646807255257785,0.7065560179178567,6
within-group,64,0_14,Shandong,0.01985728082783897,0.6210640724072886,0.7065560179178567,6
within-group,67,0_14,Shanghai,0.00215114145344414,0.6882724635325405,0.7065560179178567,6
within-group,70,0_14,Shanxi,0.0071604878943872,0.5674086296917896,0.7065560179178567,6
within-group,73,0_14,Sichuan,0.02198023969698392,0.8371543677772317,0.7065560179178567,6
within-group,76,0_14,Tianjin,0.00176456591592749,0.592327982051853,0.7065560179178567,6
within-group,79,0_14,Xinjiang,0.00443144600832027,0.5094444062991538,0.7065560179178567,6
