share_time,share_gr-40,share_gr-39,share_gr-38,share_gr-37,share_gr-36,share_gr-35,share_gr-34,share_gr-33,share_gr-32,share_gr-31,share_gr-30,share_gr-29,share_gr-28,share_gr-27,share_gr-26,share_gr-25,share_gr-24,share_gr-23,share_gr-22,share_gr-21,share_gr-20,share_gr-19,share_gr-18,share_gr-17,share_gr-16,share_gr-15,share_gr-14,share_gr-13,share_gr-12,share_gr-11,share_gr-10,share_gr-9,share_gr-8,share_gr-7,share_gr-6,share_gr-5,share_gr-4,share_gr-3,share_gr-2,share_gr-1,share_gr0,share_gr1,share_gr2,share_gr3,share_gr4,share_gr5,share_gr6,share_gr7,share_gr8,share_gr9,share_gr10,share_gr11,share_gr12,share_gr13,share_gr14,share_gr15,share_gr16,share_gr17,share_gr18,share_gr19,share_gr20,share_gr21,share_gr22,share_gr23,share_gr24,share_gr25,share_gr26,share_gr27,share_gr28,share_gr29,share_gr30,share_gr31,share_gr32,share_gr33,share_gr34,share_gr35,share_gr36,share_gr37,share_gr38,share_gr39,share_gr40
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,8.643149426284882e-5,1.8727358671508467e-4,0.0011282070160420457,0.0012776407469324372,0.0021383490281543945,0.0029316460395054527,0.004121362880558545,0.005638740296756905,0.007824521536045242,0.009920617663272402,0.013992987719474378,0.0207359039957604,0.03043182946170736,0.04358521529112748,0.08361910073759156,0.1279184670820856,0.16979085520128237,0.20395009500724448,0.2357834875342228,0.28963257516041663,0.39412521073493917,0.5573018942330135,0.7612170098400315,0.8540882000501707,0.9597206088307632,0.9969944755736188,0.9985978873100207,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,4.6641874874669525e-5,1.6963745374165898e-4,9.634519949274703e-4,0.0011820461662930405,0.0020199550517715995,0.002577691739267411,0.003519090544259731,0.0044983653118094,0.006758305768116339,0.008435054290404176,0.01261747365588596,0.016996775010828816,0.025523740995141358,0.03608832624721321,0.07013148290768258,0.10793791192165358,0.14920476606303484,0.18862344895104968,0.2210575251180899,0.26152249285760687,0.34105523017416217,0.4818493541099283,0.7079212578918085,0.8034724021318185,0.9110356064056745,0.9799246285596103,0.9972329966495519,1,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6641874874669525e-5,1.3432105734378217e-4,2.291935033300358e-4,0.0011711619923265018,0.001671176049881083,0.002184830428661699,0.0029494105519727704,0.004121362880558545,0.005393671866635276,0.007812481946633675,0.010620129442476105,0.01552766828433388,0.02353055306784626,0.032706605773277206,0.0512946606583352,0.09213867286542773,0.13324323927909265,0.1730059551395832,0.20521831992067177,0.23884017118891995,0.3003312046515485,0.41618897191903975,0.6088258366555807,0.7625894387839074,0.8493986295296457,0.9502103642434352,0.9924687533940328,0.9985978873100207,1,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,8.643149426284882e-5,1.8727358671508467e-4,0.0010706689316232851,0.0012480813684637836,0.0020199550517715995,0.0025586073251285153,0.003519090544259731,0.004584130837447685,0.0062937404983127105,0.00928842086931918,0.013339427775365674,0.019260956002293377,0.029079351493554204,0.04259343957036006,0.07447951984400353,0.11235117767644927,0.1521947726180918,0.18990933005674632,0.22295649453244576,0.2660662002019153,0.3489457588293639,0.5098104760812314,0.7273506036596372,0.8024892278371419,0.9061458842304534,0.9675181746849503,0.9972329966495519,0.9996159246610075,1,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,8.643149426284882e-5,1.6963745374165898e-4,9.634519949274703e-4,0.0011711619923265018,0.0018501370643666548,0.0022764933873006504,0.0029494105519727704,0.004093544648975803,0.005282519296079832,0.007904092751103233,0.01117456436986338,0.016134975503908775,0.023554215013314245,0.03410734640741542,0.059569966727886586,0.095763383626428,0.13697243490068434,0.17634785791111673,0.20785991255302397,0.24108262395104327,0.3071328545462902,0.4215757473997375,0.6361578750356575,0.7556968360296024,0.8437341852510962,0.9315403430633863,0.9874142962569931,0.9980884975375529,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,4.6641874874669525e-5,1.3432105734378217e-4,8.166981859720763e-4,0.0011518850089467679,0.0013003839766472574,0.002051207434815955,0.0025586073251285153,0.0035028224552680924,0.0045921264728016505,0.006218710707851153,0.009954951154170168,0.013724088845799029,0.0202392318169062,0.0304158702858729,0.04668931109766266,0.07775701221633588,0.11877270391349481,0.1544377910523601,0.1923699758043168,0.2219723413441282,0.2717266085501257,0.35548484056422275,0.5263971949529913,0.7277372104817749,0.7944796312132145,0.885934338253777,0.9572562400778698,0.9940070325965804,0.9985978873100207,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,4.6641874874669525e-5,1.3432105734378217e-4,2.316327137139855e-4,9.634519949274703e-4,0.0011711619923265018,0.001907598923460917,0.00233840439823011,0.003008705830714179,0.004150352575023052,0.005284011707696327,0.00796341611285893,0.012456557984010595,0.017219292780476462,0.025093083959161978,0.03712293257663037,0.06375910996936096,0.09690389902644694,0.1396571590311251,0.17492574209124548,0.2045610610423953,0.24070154948272054,0.3034699268147019,0.4197715260637332,0.6398175050189964,0.750151471755356,0.8344814899878117,0.9118731823068409,0.9801436760710636,0.9961379757326809,0.9996159246610075,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6641874874669525e-5,8.643149426284882e-5,1.6963745374165898e-4,9.634519949274704e-4,0.0011711619923265018,0.0013528310117613598,0.002134413394294765,0.0026832277069650766,0.0035028224552680924,0.00456529114671902,0.006434693158887856,0.009653788908936064,0.01412358577149529,0.021087519382094095,0.03169012101179475,0.05137004750426414,0.08074406203117412,0.12056911817152682,0.15614544693780247,0.18951856293663472,0.2200924162253194,0.27016017813168297,0.34791133303361,0.5190130792707428,0.7120322220333618,0.78238517561544485,0.8625057746701097,0.9456411374628566,0.9906815503646875,0.9985978873100207,1,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,8.643149426284882e-5,1.6963745374165898e-4,8.572380230276875e-4,0.0011282070160420457,0.0012894998026807187,0.0019388513065052722,0.00233840439823011,0.0030612451385895164,0.004026482410853923,0.0052692721370538416,0.008262752962164256,0.012823835668599124,0.0174594306356608,0.026411898416901117,0.0395154730026911,0.06558719384379244,0.09859772202142243,0.13920424420039218,0.17367340414018734,0.20133464766119524,0.23545200766913424,0.298467322957617,0.4046766451126055,0.6099963166318458,0.7368095004612676,0.8076494375822753,0.89527628936019,0.9656033383675212,0.9955065090970993,0.9996159246610075,1,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,4.6641874874669525e-5,1.6963745374165898e-4,2.316327137139855e-4,9.634519949274704e-4,0.0011711619923265018,0.0016629637741311734,0.002134413394294765,0.0027555013501671384,0.0034914408107627223,0.004719386657981368,0.006462507378611413,0.010234312956597722,0.013746980514303663,0.022083543661737502,0.03234068008523372,0.051545670651908515,0.07931321239385904,0.11423066951446618,0.15182477890483562,0.18531500107325258,0.2141412122760067,0.2593250772266846,0.3246502164285698,0.48643801032453565,0.6777626360405402,0.7577588072826092,0.8419409042550869,0.913346738185171,0.9858949289586394,0.9968534105809864,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,0.9999999999999999
