stats_type,popgrp,age_group_m3,Prov_En,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,58,0_14,Qinghai,0.00121246590503282,0.8253585954425514,0.9581091278137042,-16
within-group,61,0_14,Shaanxi,0.00839880110366433,0.9735356526615092,0.9581091278137042,-16
within-group,64,0_14,Shandong,0.01985728082783897,0.9687859909828496,0.9581091278137042,-16
within-group,67,0_14,Shanghai,0.00215114145344414,0.9946109310896358,0.9581091278137042,-16
within-group,70,0_14,Shanxi,0.0071604878943872,0.925935988623566,0.9581091278137042,-16
within-group,73,0_14,Sichuan_Chongqing,0.02198023969698392,0.9960030956635516,0.9581091278137042,-16
within-group,76,0_14,Tianjin,0.00176456591592749,0.9463741339469712,0.9581091278137042,-16
within-group,79,0_14,Xinjiang,0.00443144600832027,0.8620602990637273,0.9581091278137042,-16
within-group,82,0_14,Xizang,6.912305121974087e-4,0.7742585632317884,0.9581091278137042,-16
within-group,85,0_14,Yunnan,0.01035317309808648,0.999359421474305,0.9581091278137042,-16
within-group,88,0_14,Zhejiang,0.00853805721472757,0.996945419963592,0.9581091278137042,-16
within-group,1,0_14,Anhui,0.01410859002896082,0.9901178721424628,0.9531225698600102,-15
within-group,4,0_14,Beijing,0.00192930046313546,0.9196432910911496,0.9531225698600102,-15
within-group,7,0_14,Fujian,0.00836499261741459,0.999483528821694,0.9531225698600102,-15
within-group,10,0_14,Gansu,0.00553588132726672,0.9096073090136628,0.9531225698600102,-15
within-group,13,0_14,Guangdong,0.01662764777845244,0.999159138623968,0.9531225698600102,-15
within-group,16,0_14,Guangxi,0.01247369584553776,0.9986083776005122,0.9531225698600102,-15
within-group,19,0_14,Guizhou,0.00936294712703839,0.9981863147367372,0.9531225698600102,-15
within-group,22,0_14,Hainan,0.00191883150879834,1,0.9531225698600102,-15
within-group,25,0_14,Hebei,0.01568965512254203,0.9400856329216528,0.9531225698600102,-15
within-group,28,0_14,Heilongjiang,0.00828162665775682,0.7070374997401278,0.9531225698600102,-15
within-group,31,0_14,Henan,0.02215767763694521,0.9807881089756524,0.9531225698600102,-15
within-group,34,0_14,Hubei,0.01358416131756542,0.9923687128426928,0.9531225698600102,-15
within-group,37,0_14,Hunan,0.01500601692425047,0.9953514484263,0.9531225698600102,-15
within-group,40,0_14,Jiangsu,0.01408569897696787,0.9884849274230424,0.9531225698600102,-15
within-group,43,0_14,Jiangxi,0.0106032824765449,0.9975217205701838,0.9531225698600102,-15
within-group,46,0_14,Jilin,0.0057061550879989,0.7448969402770221,0.9531225698600102,-15
within-group,49,0_14,Liaoning,0.00810496095245003,0.8137118960592501,0.9531225698600102,-15
within-group,52,0_14,Neimenggu,0.00539920110087013,0.7219702656538316,0.9531225698600102,-15
within-group,55,0_14,Ningxia,0.00138936690749664,0.8766413589344654,0.9531225698600102,-15
within-group,58,0_14,Qinghai,0.00121246590503282,0.8073922443305065,0.9531225698600102,-15
within-group,61,0_14,Shaanxi,0.00839880110366433,0.96817106914768,0.9531225698600102,-15
within-group,64,0_14,Shandong,0.01985728082783897,0.9596718826808494,0.9531225698600102,-15
within-group,67,0_14,Shanghai,0.00215114145344414,0.9934368925735112,0.9531225698600102,-15
within-group,70,0_14,Shanxi,0.0071604878943872,0.9129061700390424,0.9531225698600102,-15
within-group,73,0_14,Sichuan_Chongqing,0.02198023969698392,0.9955233532767104,0.9531225698600102,-15
within-group,76,0_14,Tianjin,0.00176456591592749,0.9321490542641778,0.9531225698600102,-15
within-group,79,0_14,Xinjiang,0.00443144600832027,0.8483567403227619,0.9531225698600102,-15
within-group,82,0_14,Xizang,6.912305121974087e-4,0.7570363772193693,0.9531225698600102,-15
within-group,85,0_14,Yunnan,0.01035317309808648,0.9991638560328372,0.9531225698600102,-15
within-group,88,0_14,Zhejiang,0.00853805721472757,0.9964469464012908,0.9531225698600102,-15
within-group,1,0_14,Anhui,0.01410859002896082,0.9871086657147814,0.9475442646412298,-14
within-group,4,0_14,Beijing,0.00192930046313546,0.9061442055156168,0.9475442646412298,-14
within-group,7,0_14,Fujian,0.00836499261741459,0.9993552207729424,0.9475442646412298,-14
within-group,10,0_14,Gansu,0.00553588132726672,0.895337957197478,0.9475442646412298,-14
