share_time,share_gr-40,share_gr-39,share_gr-38,share_gr-37,share_gr-36,share_gr-35,share_gr-34,share_gr-33,share_gr-32,share_gr-31,share_gr-30,share_gr-29,share_gr-28,share_gr-27,share_gr-26,share_gr-25,share_gr-24,share_gr-23,share_gr-22,share_gr-21,share_gr-20,share_gr-19,share_gr-18,share_gr-17,share_gr-16,share_gr-15,share_gr-14,share_gr-13,share_gr-12,share_gr-11,share_gr-10,share_gr-9,share_gr-8,share_gr-7,share_gr-6,share_gr-5,share_gr-4,share_gr-3,share_gr-2,share_gr-1,share_gr0,share_gr1,share_gr2,share_gr3,share_gr4,share_gr5,share_gr6,share_gr7,share_gr8,share_gr9,share_gr10,share_gr11,share_gr12,share_gr13,share_gr14,share_gr15,share_gr16,share_gr17,share_gr18,share_gr19,share_gr20,share_gr21,share_gr22,share_gr23,share_gr24,share_gr25,share_gr26,share_gr27,share_gr28,share_gr29,share_gr30,share_gr31,share_gr32,share_gr33,share_gr34,share_gr35,share_gr36,share_gr37,share_gr38,share_gr39,share_gr40
0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6641874874669525e-5,8.643149426284882e-5,1.3432105734378217e-4,7.549075308181403e-4,8.171635616374351e-4,0.0010556164359644378,0.0013501230068120736,0.0019249502144322696,0.002339792501507818,0.0030003651754703774,0.0045157968399644356,0.006435006083904217,0.008695969564303109,0.011352955700344804,0.015239167466684883,0.024032260129976543,0.04893521807054352,0.0634619034172824,0.0764132319588939,0.08995130694176166,0.11167631476007285,0.13333983682452807,0.15439440279528377,0.1912587229051869,0.22303890614380611,0.29103190763198117,0.4004666883456839,0.5370123175952056,0.634856331631706,0.7171453606346877,0.7819908740473921,0.8363218742225017,0.8670891633136083,0.9050036397191262,0.9689535296401292,0.9990969505569487,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6641874874669525e-5,4.6641874874669525e-5,1.3432105734378217e-4,1.6963745374165898e-4,7.926190071489414e-4,9.29122515888889e-4,0.0013501230068120736,0.0016047918159613208,0.002054132080161184,0.00261833588466181,0.0034873447025357274,0.005168678779871021,0.00773658158272916,0.010190724106562172,0.013180381629870112,0.0195755860588086,0.036254702059438176,0.05617636713890637,0.06821979991157219,0.08305872825861176,0.10073550537743185,0.11678520480252282,0.1427143882986713,0.16549935739644334,0.20173011266841145,0.24640947830296692,0.3259924962506769,0.4455913543022408,0.580053974109194,0.6623515122655053,0.7400831494725015,0.7947728860839967,0.8475594287934152,0.8693356078756198,0.9175028477781233,0.9773761271077666,0.9990969505569487,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6641874874669525e-5,8.643149426284882e-5,1.3432105734378217e-4,2.5209720741222125e-4,7.926190071489414e-4,0.0010556164359644378,0.0013501230068120736,0.001741379573744135,0.002224367300921278,0.0027418088747717105,0.004454936936141217,0.005910535732763194,0.0087328746569379,0.011132122911554491,0.015166564851029725,0.02534860328245826,0.04893311184447185,0.06260814768802654,0.07371783227116419,0.09269963508770758,0.106139523828903,0.12523596150977367,0.14721245673290106,0.17800408577367774,0.21425340792995,0.2749916561352688,0.3541913770446681,0.49263015450086955,0.6071277530661516,0.6870845278510326,0.76386063648499,0.8104090230050919,0.8564740246239572,0.8736427880380095,0.924541795131747,0.9874760307461184,0.9990969505569487,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6641874874669525e-5,4.6641874874669525e-5,1.3432105734378217e-4,1.463606467553496e-4,7.72543663791566e-4,9.29122515888889e-4,0.0012582554433547316,0.0015473299568670587,0.0019033463527257416,0.002432005084854995,0.0032039951120791505,0.005181187756807132,0.006638070348368029,0.0097726723321393209,0.012772568120085155,0.0204935836891799,0.03623424157759912,0.05400600347446263,0.06759102523350304,0.08020834242688081,0.10100100620637825,0.11452505171767911,0.13301086437142962,0.15400643996474186,0.1929883557552399,0.23663961427225647,0.29656712591435086,0.4072426904246614,0.5339694949139896,0.6364179799140012,0.715517789482279,0.7765548329359132,0.8220936511397661,0.8604226890022166,0.8794528788523798,0.9295904711797023,0.9902922796680517,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6641874874669525e-5,4.6641874874669525e-5,1.3432105734378217e-4,2.115573703566101e-4,7.926190071489413e-4,9.48399499268623e-4,0.0013501230068120736,0.0016948981732368305,0.0020541320801611843,0.0026278680620832975,0.0043447993659593565,0.005585190000367167,0.00863016303810586,0.010822002184762229,0.015365705517211458,0.02712282794734285,0.046655471065444536,0.060101277298936544,0.07311409560626317,0.09184354846826574,0.10539008045029363,0.1220648516074268,0.13960189165900455,0.1669330474300608,0.20483877397069816,0.25297851659035364,0.330369755569295,0.44279103647312773,0.5772033836726447,0.6626548328909805,0.739230621372156,0.7913345903718462,0.8346765666406399,0.8610926895452619,0.8873028997653993,0.9362673482419583,0.9948063634441445,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6641874874669525e-5,4.6641874874669525e-5,1.3432105734378217e-4,1.3432105734378217e-4,7.549075308181403e-4,8.645035000101429e-4,0.0010556164359644378,0.0013501230068120736,0.0018032905846735948,0.002316579884268455,0.003265388593173858,0.0050557128489643515,0.006033539335348551,0.009227914009104162,0.012313727773337276,0.020023919346353246,0.03790046699324699,0.05304056159737984,0.06505303886458096,0.0792357995590421,0.10085823216173351,0.10955800496854316,0.12853786604524145,0.14783894866309447,0.17498295120321114,0.2255546266942563,0.2841898141848043,0.3622747357115549,0.4956048999435901,0.6083452199371814,0.6871031268302102,0.7630968065793464,0.8061599546229842,0.8479593830710583,0.8639251784731724,0.8898297452013672,0.9428227462081191,0.998339567709014,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6641874874669525e-5,4.6641874874669525e-5,1.3432105734378217e-4,1.6963745374165898e-4,7.926190071489414e-4,9.483994992686229e-4,0.0013157935277734922,0.0016374363141425684,0.002035569207716225,0.002548112301502837,0.004116516554664118,0.005456168609005618,0.007331801038487404,0.010489310738200065,0.014959548905269546,0.029662896471181508,0.044846006229486576,0.05774523275587382,0.071046563916427,0.09012088822947474,0.1035144881394037,0.11742851444641607,0.1353514712803518,0.15799658696696514,0.19024210575235134,0.24424074345335192,0.31450684830781706,0.4212096211187349,0.5356554025107948,0.6366794688837635,0.7154365894523922,0.7789044384449855,0.8184727035026805,0.8528608038276603,0.8652920991343884,0.901859561723962,0.9592133333080853,0.9986630439150301,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6641874874669525e-5,4.6641874874669525e-5,8.643149426284882e-5,1.3432105734378217e-4,2.5209720741222125e-4,8.64503500010143e-4,0.0010556164359644378,0.0013501230068120736,0.0018032905846735948,0.0022853275012240993,0.0033667602510383987,0.004946786860256098,0.005810391703808995,0.008895623748460412,0.012213655957848393,0.021746314802438087,0.03873176433479011,0.05046303434433898,0.06445347052137225,0.08064787770723467,0.09932248444233102,0.10860824544901113,0.12690361915915027,0.14133160875810044,0.16624360140555006,0.21397503705674092,0.268610693806434,0.34021890998492055,0.44980957549908174,0.5765140660276278,0.6651581327253966,0.7425078609973598,0.7909614754321447,0.8308694165832414,0.8571351870412198,0.8705684080724513,0.911741517100277,0.9681316120253585,0.9987533147585322,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6641874874669525e-5,4.6641874874669525e-5,1.3432105734378217e-4,1.6963745374165898e-4,7.549075308181403e-4,9.483994992686229e-4,0.0012921155348687703,0.0014161582089828168,0.0019706573261170372,0.002775757227187799,0.003946919219514301,0.0053406070052068174,0.007170387896073207,0.010161906922042581,0.016066793957074523,0.03203360034770303,0.04400027020673978,0.05662949459817605,0.07094163373946616,0.08824278850659471,0.1036634885895022,0.11368643273312497,0.13191652547061997,0.15106449548271075,0.18146509663252886,0.2360437047446237,0.2948080058992945,0.38734753169882274,0.4989854609902219,0.613120696398416,0.6917238578589947,0.7617202654798069,0.8063741838915574,0.8411209323920207,0.8619793866502786,0.8764327352111316,0.9243391481006382,0.9831547288394005,0.9990127616919698,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24679763771461e-5,4.6641874874669525e-5,1.3432105734378217e-4,1.3432105734378217e-4,2.1155737035661012e-4,8.64503500010143e-4,9.483994992686229e-4,0.0013157935277734922,0.0018380413089265097,0.0021826600128430854,0.003385555811316037,0.004693437952778429,0.006158617069132103,0.008898066970703545,0.012434785624218332,0.024317226499684323,0.03856101158419526,0.04776201003003311,0.06470159598819218,0.08189928891882127,0.09644578482621138,0.107315816989126,0.12226580964581894,0.13845830317485056,0.15766701674684824,0.20156941363693204,0.2555502667661694,0.3229294939177647,0.4263444197477959,0.5425216192672458,0.6446260351880491,0.7243569503245819,0.779203735175699,0.8222809728687913,0.8468005174271311,0.8633377339684182,0.885910612118562,0.9336108996950474,0.9914579775081693,0.9990969505569487,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6641874874669525e-5,4.6641874874669525e-5,1.3432105734378217e-4,1.6963745374165898e-4,7.549075308181403e-4,8.837804833898769e-4,0.0012345774504500097,0.0014423355901592506,0.0019706573261170372,0.0029314574821237985,0.0038485805271929606,0.005236114120897025,0.006801954796039649,0.010701851014056787,0.020690782615516518,0.034447158904029405,0.04487680126058394,0.054669151762021403,0.07090317204546792,0.08824147261678232,0.10141757359290297,0.11159295233808585,0.13061127912064155,0.1448755888767385,0.16742225353897333,0.2264653468120676,0.2815329042740871,0.35748454776269206,0.4643517065036795,0.5790710004074766,0.6697508168466249,0.7531994095570318,0.792622068197498,0.8309640242465215,0.8524160170236345,0.8700541358673562,0.8949720179240882,0.9400858679082847,0.9967403323180226,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6641874874669525e-5,1.3432105734378217e-4,1.3432105734378217e-4,2.115573703566101e-4,8.468673670367173e-4,9.483994992686229e-4,0.0013157935277734924,0.0017915599084192052,0.0025023209407752027,0.0036279884499536945,0.004440574480262039,0.006383200946259575,0.009210414279342997,0.01579778275134202,0.029011851962781252,0.03903938567331066,0.047438971116667956,0.06093134701156932,0.08006630255246679,0.09497306742645074,0.10605051270918475,0.11754421646528632,0.13713818887473578,0.15461150455503284,0.1925053238976117,0.24520726853241445,0.3057884283795196,0.4019178299667523,0.5103048334173363,0.6137697349772242,0.6988331411278345,0.7677686647415735,0.80967123808927155,0.8370786833745731,0.8578053881772243,0.8726942360880919,0.9089433857344194,0.9592358037313756,0.9975958332060236,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6641874874669525e-5,4.6641874874669525e-5,1.3432105734378217e-4,1.463606467553496e-4,7.549075308181403e-4,9.48399499268623e-4,0.0012345774504500097,0.0014080061111206694,0.0022754021616025674,0.0031979612758662223,0.00400059789539793,0.005764504058460942,0.007103165183583962,0.012034803263560793,0.024200437266975176,0.03507513121026174,0.04561421708535928,0.0532343865501426,0.06933985482975212,0.08752388741195413,0.09957766275759666,0.11176976299604874,0.1282493732513108,0.14202618595050764,0.16150013958060475,0.21390285167444092,0.2669267600443474,0.34249009969437977,0.434497921760658,0.5548261318000371,0.6483588615422023,0.7326546225090849,0.780610878737095,0.8207878351057835,0.8446778547683867,0.8614028062601949,0.8796305440363489,0.9195079067967442,0.9798238987992152,0.9982793135959275,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,4.6641874874669525e-5,1.3432105734378217e-4,1.3432105734378217e-4,2.115573703566101e-4,8.468673670367173e-4,9.48399499268623e-4,0.0013843281182159472,0.002023894697490413,0.0027389604547509794,0.003743201022003476,0.004522921901875446,0.006287253322011976,0.00875752351976518,0.020183190155963118,0.03197684056396599,0.040346096351891285,0.04759478370366111,0.05943182638059951,0.0793694426121838,0.09321671960609063,0.10536610156795011,0.11598566533828125,0.1353420714942834,0.14961367481037707,0.18372987940287105,0.23768995912525298,0.2922788175375632,0.3822312758829107,0.4799981940214697,0.5897822471957426,0.6773055889948477,0.7581701552403355,0.7961660924465871,0.8307727588599182,0.8521929295699826,0.8693536853131034,0.8910680376334216,0.9297831206577242,0.9856475898162196,0.9982793135959275,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6641874874669525e-5,9.453143795560287e-5,1.3432105734378217e-4,1.3432105734378217e-4,7.549075308181403e-4,9.483994992686229e-4,0.0013267900337971866,0.001617108223656593,0.0027009079703895276,0.0032070601724958243,0.00427602005210667,0.005702480715474327,0.007924280426517763,0.016513839437821063,0.028363375044258836,0.03579333022954511,0.045194103215315785,0.05209734542017711,0.06930508805806247,0.08681941296293966,0.09827610731806764,0.11059018011129475,0.12362593020571787,0.14133963648832787,0.15854185479611668,0.20800545879236493,0.25703819713595616,0.3262781085297133,0.4236845129782682,0.533178496697951,0.6253912565669321,0.7106691728162584,0.7700542048713342,0.8099568423445896,0.8380566221930145,0.8561877824830288,0.87417935815645,0.9009542415686126,0.9500236242339916,0.9936689813061483,0.9987533147585322,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,4.6641874874669525e-5,1.3432105734378217e-4,1.3432105734378217e-4,2.115573703566101e-4,8.468673670367173e-4,0.0011478290193116148,0.0014827510595801538,0.002548962815649872,0.0031002925640286317,0.0038858868057461645,0.004788238185299368,0.007067467660563593,0.011477844876746702,0.024219192708660974,0.03380571477465676,0.04095623193219099,0.04919231004263998,0.05894170556779299,0.07867060482532302,0.09230079209505833,0.10378692547287945,0.1157670631431973,0.13435324449001632,0.1469037040500906,0.17993792225620286,0.23109568223173887,0.28258450483900827,0.36401871095819116,0.45956763664007244,0.5777161353831088,0.659027831358386,0.7430706766985827,0.7838571066908055,0.8206712865846254,0.8454283332066655,0.8617310565786402,0.8806489946088315,0.9166551579799538,0.9750660263760805,0.9967515213932872,0.9997405530665624,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6641874874669525e-5,1.3432105734378217e-4,1.3432105734378217e-4,1.9951778094504265e-4,2.5209720741222125e-4,0.0010406120826157998,0.0014252129751613932,0.0017989537648955525,0.0028526485203107924,0.0033995291168543544,0.0044205432673556895,0.006133370439286386,0.008970400791793369,0.021164944252488577,0.030776925576866843,0.037848705986053374,0.04521381749134659,0.05373343374963381,0.06843734297583155,0.0878238781943065,0.09755279719018368,0.1098088865826226,0.12287484998856138,0.14203670504528842,0.15720507122109184,0.19695431525844206,0.25095367108223654,0.31004806801057744,0.4024145462760575,0.5096602319547858,0.608211255935305,0.6908934230671762,0.7631367045189326,0.7988978476022435,0.8303772015799408,0.8513606693822353,0.8671072126680777,0.892476320562826,0.9266801561954788,0.9845987614459947,0.9974038617322039,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
