"GBCounty","popgrp1","popgrp2","popgrp3","popgrp4","popgrp5","popgrp6","popgrp7","popgrp8","popgrp9","popgrp10","popgrp11","popgrp12","popgrp13","popgrp14","popgrp15","popgrp16","popgrp17","popgrp18","popgrp19","popgrp20","popgrp21","popgrp22","popgrp23","popgrp24","popgrp25","popgrp26","popgrp27","popgrp28","popgrp29","popgrp30","popgrp31","popgrp32","popgrp33","popgrp34","popgrp35","popgrp36","popgrp37","popgrp38"
653024,2.0062379827698e-07,2.08562150007364e-07,1.198691111288e-06,1.11136924225377e-06,2.28696696668974e-06,2.06397144989986e-06,1.80705752117107e-06,1.63385711978087e-06,8.22701906603442e-07,6.56718188604502e-07,1.3105497038525e-06,8.90538730481269e-07,2.18376839419475e-06,1.67066220507629e-06,2.92059176844222e-06,2.47460073486246e-06,2.45222901634956e-06,1.99541295768291e-06,2.09644652516052e-06,1.61076373292884e-06,2.06324978156074e-06,1.59705203448545e-06,1.75798407411051e-06,1.40436658793886e-06,1.07672916197573e-06,8.89095393803018e-07,5.66509646213773e-07,5.38364580987866e-07,4.93621143962065e-07,4.50321043614515e-07,3.41349124406516e-07,3.64442511258542e-07,2.20108843433377e-07,2.15778833398622e-07,1.15466934260132e-07,1.21240280973139e-07,7.14451655734568e-08,7.50535072690859e-08
659009,1.34951979416529e-07,1.45055336164291e-07,1.18497941284461e-06,1.0731208202801e-06,2.9675002104854e-06,2.70986461341748e-06,1.81571754124058e-06,1.63097044642437e-06,1.58983535109419e-06,1.39065488949547e-06,1.65189882825902e-06,1.36828317098257e-06,2.56120093555756e-06,1.85901764158813e-06,2.87656999975554e-06,2.09933319851703e-06,2.26098690648121e-06,1.58983535109419e-06,2.04448640474346e-06,1.3942632311911e-06,2.22779016288142e-06,1.61870208465923e-06,1.68726057687618e-06,1.32931308066977e-06,1.00095398636752e-06,7.39710047603972e-07,4.82796118875178e-07,4.27227656762489e-07,3.85370893093191e-07,4.10629284962595e-07,2.72068963850436e-07,2.44645566963655e-07,1.51550351216423e-07,1.71035396372821e-07,9.9590230799364e-08,8.94868740516024e-08,6.71151555387018e-08,6.27851455039469e-08
659001,1.25642457841806e-06,1.11858592564503e-06,6.53542847912348e-06,5.95159879277069e-06,7.56813587241254e-06,6.7764657043915e-06,7.05358634661582e-06,6.64800874002711e-06,1.17870089829421e-05,1.10270922218426e-05,1.42320213159004e-05,1.23867153727557e-05,1.47205907814886e-05,1.18223707315593e-05,1.77494328007997e-05,1.41901645522311e-05,1.11411158194245e-05,9.23591140413232e-06,1.16636036969516e-05,1.0633782977019e-05,1.99606245918812e-05,1.81218136637886e-05,2.07061079861982e-05,1.93594748653894e-05,1.4384293335456e-05,1.30232268478647e-05,7.99897187087065e-06,7.34153201392703e-06,5.79644009985863e-06,6.28428789710769e-06,3.79308879044534e-06,6.15583093274329e-06,4.65187411400507e-06,6.78584739280014e-06,4.18062468855591e-06,3.99515592540057e-06,1.7298390088846e-06,2.04737307809997e-06
659007,1.37838652773033e-07,1.46498672842543e-07,7.88783494664528e-07,7.43318389299601e-07,1.04641909173245e-06,1.02116069986304e-06,1.16405103100996e-06,9.67757242767733e-07,1.17343271941859e-06,1.17198938274034e-06,8.89817062142143e-07,5.91046369744051e-07,1.32137472893939e-06,1.06518246854972e-06,1.65262049659814e-06,1.38199486942596e-06,1.13518429744492e-06,1.02621237823692e-06,1.21240280973139e-06,1.16549436768821e-06,2.27830694662023e-06,2.19026340924688e-06,3.02739868263284e-06,2.839043246121e-06,2.23212017291618e-06,1.74715904902362e-06,9.02085423907282e-07,6.61769866978382e-07,5.2393121420535e-07,5.4630293271825e-07,2.93719014024211e-07,5.5496295278776e-07,3.63720842919416e-07,5.47746269396502e-07,4.04134269910463e-07,3.01657365754595e-07,1.36395316094781e-07,1.44333667825165e-07
654221,5.45581264379124e-07,4.74136098805668e-07,3.18039237052751e-06,2.92059176844222e-06,4.65043077732682e-06,4.3927951802589e-06,4.5631089082926e-06,4.35382508994611e-06,3.39905787728264e-06,3.06492543626738e-06,3.33338605842219e-06,2.86285830131215e-06,4.79187777179548e-06,4.32423668804195e-06,6.25758616856004e-06,5.70767489414616e-06,5.07116341903718e-06,4.66558581244846e-06,5.73148994933731e-06,5.49550440244316e-06,6.95688278917296e-06,6.84141585491283e-06,7.07162805509397e-06,6.83997251823458e-06,4.99755324844634e-06,4.70311256608301e-06,2.83326989940799e-06,2.80440316584296e-06,2.1209832486908e-06,2.44284732794092e-06,1.3300347490089e-06,1.86262598328376e-06,1.05868745349759e-06,1.60210371285933e-06,9.85798951245878e-07,9.38168840863574e-07,4.42382691884131e-07,5.18879535831469e-07
654226,1.98458793259602e-07,1.71035396372821e-07,1.08971919208e-06,9.67035574428607e-07,1.60066037618108e-06,1.52344186389462e-06,1.45055336164291e-06,1.313436377209e-06,9.54045544324342e-07,7.96000178055786e-07,1.03920240834119e-06,8.01773524768793e-07,1.49241012531221e-06,1.28673464866135e-06,2.19387175094251e-06,2.01922801287406e-06,1.93551448553547e-06,1.75221072739751e-06,2.14984998225584e-06,1.95066952065711e-06,2.61893440268762e-06,2.30212200181138e-06,2.48037408157546e-06,2.28119361997674e-06,1.60210371285933e-06,1.47797675852969e-06,8.85487052107388e-07,8.56620318542355e-07,6.05479736526568e-07,7.18781665769323e-07,3.52895817832529e-07,4.84239455553429e-07,2.85780662293827e-07,3.50009144476026e-07,1.84025426477086e-07,2.20108843433377e-07,8.73218690342249e-08,1.08971919208e-07
654223,6.96409947256422e-07,5.94654711439681e-07,3.73752032833265e-06,3.42503793749117e-06,5.45364763877387e-06,5.10219515761959e-06,5.95376379778806e-06,5.58426960815564e-06,4.22248145222521e-06,3.8645339560188e-06,4.75218601314356e-06,3.61988838905514e-06,6.14356257097816e-06,4.94487145969016e-06,7.49669070683908e-06,6.76058900093074e-06,6.47408667029778e-06,6.0497456868918e-06,8.14114053367844e-06,7.91453667519293e-06,1.38401554077551e-05,1.31646738423333e-05,1.55851494517613e-05,1.42053195873528e-05,1.13316362609537e-05,9.08003104288114e-06,5.57921792978176e-06,4.54434553147533e-06,4.29609162281604e-06,4.73125763130891e-06,2.95595351705938e-06,4.18784137194717e-06,2.76759808054754e-06,3.57442328369022e-06,1.99324795266553e-06,2.16644835405573e-06,1.05363577512371e-06,1.26652793516582e-06
654201,4.1495929499735e-07,3.81040883058436e-07,2.37212383070659e-06,2.26098690648121e-06,3.09595717484979e-06,2.83832157778187e-06,3.25039419942272e-06,3.02379034093721e-06,3.171732350458e-06,3.07358545633689e-06,2.66006949801779e-06,2.24005852464656e-06,3.72741697158489e-06,3.46617303282134e-06,4.48805540102351e-06,4.27444157264227e-06,3.6689618361157e-06,3.54266987676868e-06,4.70816424445689e-06,4.60352233528364e-06,6.59677028794917e-06,6.29655625887283e-06,6.45460162514139e-06,6.25758616856004e-06,4.63671907888343e-06,4.3061949795638e-06,2.57274762898357e-06,2.49841579005361e-06,2.14912831391671e-06,2.41037225268026e-06,1.33219975402627e-06,1.83664592307523e-06,1.18497941284461e-06,1.50034847704259e-06,8.77548700377004e-07,8.83322047090011e-07,4.85682792231681e-07,5.52076279431257e-07
654224,2.92997345685085e-07,2.91554009006834e-07,1.65406383327639e-06,1.49890514036434e-06,2.56841761894881e-06,2.49408578001885e-06,2.72862799023475e-06,2.52223084524476e-06,1.68004389348492e-06,1.67427054677192e-06,1.858295973249e-06,1.66633219504153e-06,2.53377753867077e-06,2.24222352966394e-06,2.95523184872026e-06,2.74233968867814e-06,2.61893440268762e-06,2.41037225268026e-06,2.62831609109626e-06,2.47099239316683e-06,2.72501964853912e-06,2.67450286480031e-06,2.50779747846224e-06,2.41831060441064e-06,1.74427237566712e-06,1.69592059694569e-06,1.07384248861923e-06,1.12941095073192e-06,6.90636600543415e-07,9.91572297958885e-07,4.69806088770913e-07,6.21356439987336e-07,3.74545868006304e-07,3.88257566449694e-07,1.9196377820747e-07,2.24438853468132e-07,9.23735474081057e-08,1.21240280973139e-07
654202,6.66821545352263e-07,5.82386349674542e-07,3.73679865999353e-06,3.52534983662966e-06,5.57633125642526e-06,5.12889688616725e-06,5.52220613099082e-06,5.32663401108772e-06,4.49671542109302e-06,3.98721757367019e-06,4.62012070708354e-06,3.79092378542796e-06,6.882550950243e-06,4.82723952041265e-06,8.51929474338038e-06,6.38026978621143e-06,7.14668156236305e-06,5.75313999951108e-06,8.14041886533932e-06,6.85801422671272e-06,1.12847278189105e-05,1.0042736607275e-05,1.21103163988705e-05,1.04923359825504e-05,8.27248417139934e-06,6.87028258847786e-06,4.55733556157959e-06,3.89845236795771e-06,3.61122836898563e-06,3.78009876034108e-06,2.41975394108889e-06,2.76904141722579e-06,1.8164392095797e-06,2.23284184125531e-06,1.20590779467926e-06,1.41735661804312e-06,6.58883193621879e-07,8.22701906603442e-07
