"GBCounty","popgrp1","popgrp2","popgrp3","popgrp4","popgrp5","popgrp6","popgrp7","popgrp8","popgrp9","popgrp10","popgrp11","popgrp12","popgrp13","popgrp14","popgrp15","popgrp16","popgrp17","popgrp18","popgrp19","popgrp20","popgrp21","popgrp22","popgrp23","popgrp24","popgrp25","popgrp26","popgrp27","popgrp28","popgrp29","popgrp30","popgrp31","popgrp32","popgrp33","popgrp34","popgrp35","popgrp36"
522629,1.06653301599437e-05,9.58968601343198e-06,9.25443179342546e-06,8.63965162745043e-06,1.04282638513375e-05,9.57730195253464e-06,1.062906255303e-05,9.91963277876822e-06,9.04036445505718e-06,8.963406362338e-06,6.42732760571873e-06,5.86562198644659e-06,3.72583317854216e-06,3.40827047410326e-06,4.56087271333413e-06,4.2114652808735e-06,4.01862776118637e-06,3.64887508582298e-06,3.60376172112553e-06,3.20127974196203e-06,3.9655532144835e-06,3.36581083674095e-06,3.06770879942645e-06,2.55553942374366e-06,1.69838549449215e-06,1.44539682187509e-06,1.01726214513853e-06,9.69495053105936e-07,7.722346545269e-07,7.42159078061934e-07,5.3251461858556e-07,5.59051891937e-07,2.24682247708857e-07,3.09601522433465e-07,1.36224669870725e-07,7.96118200543196e-08
522630,6.54320703268669e-06,5.97000192829558e-06,7.36851623391646e-06,7.21283089692135e-06,8.97048296856505e-06,8.44946783509845e-06,8.64849738523425e-06,8.08767634174049e-06,6.81831009976328e-06,6.56355227558946e-06,4.24419458467361e-06,3.86382699996964e-06,3.06328592053454e-06,2.92883040222058e-06,3.93370848646177e-06,3.54449514397398e-06,3.42684656544927e-06,2.9942890098208e-06,2.96067513024231e-06,2.81206639947424e-06,2.95890597868554e-06,2.75103067076593e-06,2.37154766184034e-06,1.94518213666054e-06,1.13314157210648e-06,9.73033356219461e-07,7.03237743813156e-07,6.77585046240097e-07,6.94391986029343e-07,7.31544168721359e-07,4.15750615839224e-07,4.96247011671925e-07,1.54800761216732e-07,2.78641370190118e-07,1.65415670557308e-07,5.74974255947863e-08
522631,2.37154766184034e-05,2.08052223075288e-05,2.06539598494256e-05,1.87530065016842e-05,1.94827815188488e-05,1.8031192666525e-05,2.45027490611628e-05,2.29149355389683e-05,2.09334857953941e-05,1.97508079796983e-05,1.677155675811e-05,1.57896776441067e-05,1.06617918568302e-05,9.77633150267044e-06,1.15021388462924e-05,1.04070340326563e-05,9.5127279207128e-06,8.67680381014245e-06,9.06601715263023e-06,8.25220743651941e-06,9.34819682593388e-06,8.57861589874212e-06,7.98506555144825e-06,6.89084531359055e-06,4.21765731132217e-06,3.87267275775346e-06,2.78375997456604e-06,2.55553942374366e-06,2.14951914146663e-06,2.26186026532106e-06,1.22602202883652e-06,1.3595929713721e-06,4.4582619230419e-07,6.59893530672471e-07,1.93722095465511e-07,1.17648578524717e-07
522632,1.53243907846781e-05,1.35145487421099e-05,1.53500434822512e-05,1.3730385232035e-05,1.28944611214646e-05,1.17126678815472e-05,1.59329789202045e-05,1.48104522574386e-05,1.3350017647331e-05,1.25034786274201e-05,9.99570629570901e-06,9.21551045917668e-06,6.81388722087137e-06,5.91073535114404e-06,6.90057564715274e-06,6.15664741753404e-06,5.79662507573284e-06,5.18803694020649e-06,5.486138977521e-06,5.07658039213044e-06,5.55425131245636e-06,5.02881330009785e-06,4.62721589671273e-06,4.09823958124069e-06,2.52634842305707e-06,2.42019932965131e-06,1.5869289464161e-06,1.65238755401632e-06,1.32509451601523e-06,1.40736006340469e-06,8.37693262127118e-07,9.42957779754496e-07,3.35254220006523e-07,4.63517707871816e-07,1.99029550135799e-07,1.04379941848997e-07
522633,1.21337259520567e-05,1.08050931329279e-05,1.26211272059448e-05,1.16958609417579e-05,1.34588204680719e-05,1.27785816944967e-05,1.61072403485456e-05,1.53411977244674e-05,1.37878826576298e-05,1.28387328474266e-05,9.95059293101156e-06,9.04744106128423e-06,5.08896445302778e-06,4.89789608489742e-06,6.48217130397837e-06,6.01334614143627e-06,6.30790987563725e-06,6.01157698987951e-06,6.04253714212285e-06,5.92754229093328e-06,5.9646944736253e-06,5.52329116021301e-06,5.11992460527113e-06,4.58917913824233e-06,3.53741853774693e-06,3.17385789283221e-06,2.04248547228249e-06,2.04513919961763e-06,1.57542946129715e-06,1.74438343496798e-06,9.16420506403056e-07,1.08360532851713e-06,4.04251130720267e-07,5.82050862174914e-07,2.78641370190118e-07,1.68953973670834e-07
522634,7.39151520415438e-06,5.72939731657586e-06,5.95319498850634e-06,4.97662332917335e-06,6.46624893996751e-06,5.61174873805115e-06,7.70023215080946e-06,7.15444889554818e-06,6.28756463273448e-06,5.78335643905712e-06,4.47860716594467e-06,4.00889742762418e-06,2.69353324517115e-06,2.52457927150031e-06,3.60464629690391e-06,3.27646868312444e-06,3.44719180835204e-06,2.83064249082025e-06,2.95359852401526e-06,2.49981114970563e-06,2.85275688527978e-06,2.27689805355354e-06,2.30608905424012e-06,1.73907598029769e-06,1.33040197068552e-06,1.09510481363608e-06,9.87186568673563e-07,8.08502261440534e-07,6.94391986029343e-07,7.10314350040207e-07,4.22827222066275e-07,4.17519767395987e-07,1.48608730768063e-07,2.09644459476375e-07,6.54586076002183e-08,4.06904858055411e-08
522635,8.8687567540512e-06,8.03106349192408e-06,9.20578012561448e-06,8.30262825588715e-06,1.0450378245797e-05,9.60383922588608e-06,1.02486949683261e-05,9.42692407020982e-06,9.1624359124738e-06,8.46273647177417e-06,6.33267799743193e-06,5.79574049995446e-06,4.31938352583603e-06,3.9558228809213e-06,5.6329785567323e-06,5.43306443081812e-06,4.69886653476162e-06,4.45737734726351e-06,4.12123855147861e-06,3.58607020555791e-06,3.51707329484416e-06,3.20835634818908e-06,3.10928386101037e-06,3.07566998143188e-06,2.07344562452583e-06,1.95137416710921e-06,1.51881661148074e-06,1.64177264467575e-06,1.06679838872788e-06,1.31094130356113e-06,7.25352138272689e-07,9.40304052419352e-07,2.70680188184686e-07,4.72363465655629e-07,2.20259368816951e-07,9.81879114003275e-08
522636,7.62238948231191e-06,6.0168844445498e-06,7.08899028794797e-06,6.12745641684746e-06,7.77011363730159e-06,6.94215070873667e-06,7.91695321651289e-06,7.32605659655416e-06,6.73427540081705e-06,6.68208542989255e-06,4.95981638938411e-06,4.66436807940474e-06,3.37642574608153e-06,3.02878746517767e-06,4.07258688366764e-06,3.59314681178496e-06,3.42861571700603e-06,3.28531444090825e-06,2.9704054638045e-06,2.64311242580341e-06,2.97305919113964e-06,2.66788054759809e-06,2.4493903303379e-06,2.15305744458015e-06,1.4542425796589e-06,1.29855724266379e-06,1.04822229738187e-06,1.0093009631331e-06,7.31544168721359e-07,8.52731050359601e-07,4.4582619230419e-07,5.62590195050525e-07,1.82222610346554e-07,2.6625730929278e-07,1.18533154303098e-07,6.54586076002183e-08
522701,1.95836231575842e-05,1.78737381779731e-05,1.44168160360589e-05,1.31164896418383e-05,1.57551791887498e-05,1.45689630699405e-05,2.38030496204632e-05,2.19958613052301e-05,2.32218833340666e-05,2.06822662743338e-05,1.76234032326912e-05,1.60382434378319e-05,1.35808919254885e-05,1.24787105056254e-05,1.31067593082761e-05,1.26830475104315e-05,1.13031092961566e-05,1.03751893046346e-05,9.4799986169127e-06,9.00232769658678e-06,8.76526138798058e-06,8.76349223642382e-06,7.64450387677144e-06,7.15091059243466e-06,5.05535057344929e-06,4.50956731818801e-06,3.18801110528631e-06,3.33308153294085e-06,2.21055487017494e-06,2.54934739329499e-06,1.23398321084195e-06,1.83549474014126e-06,5.13938527239552e-07,9.69495053105936e-07,4.30788404071707e-07,1.60992791665402e-07
522702,1.4110752816739e-05,1.34154762549312e-05,1.29086143339187e-05,1.23522161693169e-05,1.41753268485608e-05,1.34375906493908e-05,1.45990386464054e-05,1.31014518536059e-05,1.36277744417427e-05,1.17002838206498e-05,8.81125932845641e-06,7.43132111418154e-06,6.98372577032059e-06,5.97796311030102e-06,7.86387866981001e-06,6.7891190990767e-06,5.96292532206853e-06,5.3392993983097e-06,4.90497269112447e-06,4.49718325729067e-06,4.20173494731131e-06,3.80013754392619e-06,3.82844396883439e-06,3.50468923394682e-06,2.74483864031726e-06,2.41223814764588e-06,1.93191349998482e-06,1.85583998304403e-06,1.54889218794571e-06,1.56658370351333e-06,1.03495366070615e-06,1.16764002746335e-06,3.8655961515264e-07,4.78555496104299e-07,1.64531094778927e-07,1.3976297298425e-07
