utci_thres,year_1990_time_2G_apr2sep,year_2020_time_2G_apr2sep,cdf_percpoint_chg_time_2G_apr2sep,cdf_percent_chg_time_2G_apr2sep,year_1990_time_3G_oct2mar,year_2020_time_3G_oct2mar,cdf_percpoint_chg_time_3G_oct2mar,cdf_percent_chg_time_3G_oct2mar
-10,0.9947956514867652,0.9968715189228176,0.00207586743605237,0.0020867274931790224,0.8543335462845421,0.8862373634850336,0.03190381720049151,0.03734351453157818
-9,0.99369297414797,0.9961605923912225,0.0024676182432524785,0.00248328035665977,0.8390960096439226,0.8726847068184126,0.03358869717448998,0.04002962329512641
-8,0.9924103101987128,0.9953124290560432,0.0029021188573303824,0.002924313489598152,0.8229403362363864,0.858228406240321,0.035288070003934635,0.04288047194930335
-7,0.9909063016587925,0.9942914730778044,0.0033851714190119564,0.0034162376536965473,0.8057041285941398,0.8429249087928369,0.03722078019869712,0.046196586163264504
-6,0.989156065096082,0.9930637714007516,0.003907706304669634,0.003950545765788796,0.7872656596462376,0.8265657486920248,0.03930008904578719,0.04991972984500164
-5,0.9871366298615196,0.991621823182452,0.004485193320932335,0.004543639841995874,0.7675459542504561,0.8091288746768692,0.041582920426413095,0.05417645705268648
-4,0.9848127580021055,0.9898990797219416,0.005086321719836029,0.005164760182590115,0.7465485828951092,0.7905430664956015,0.043994483600492296,0.058930503129323554
-3,0.982133806288314,0.98792247904019,0.005788672751876001,0.00589397566279954,0.7242294843128187,0.7707334573811003,0.04650397306828158,0.06421165400688791
-2,0.979008862154745,0.9856390666442192,0.006630204489474156,0.006772364118217927,0.7007065317665668,0.7495445342322108,0.04883800246564396,0.06969822636377798
-1,0.9754113458356948,0.9829666252923136,0.007555279456618824,0.007745736697521959,0.676082678802526,0.7270274303120122,0.050944751509486186,0.07535284234721004
0,0.9712331291049452,0.9798007132562402,0.008567584151294994,0.008821346692725137,0.6504105764589886,0.703211179246783,0.052800602787794415,0.0811804184908173
1,0.9663680163344092,0.9760366355829038,0.009668619248494603,0.010005110977460995,0.6237632785337169,0.6779834315353588,0.054220153001641846,0.08692424653323196
2,0.9607243045973172,0.971573054076439,0.010848749479121844,0.011292260877764557,0.5961691840222585,0.651538516625462,0.055369332603203536,0.09287520067648494
3,0.9542101519867102,0.966418705799767,0.012208553813056744,0.012794407801717434,0.5675517432078757,0.6238214017443053,0.05626965853642962,0.0991445435765667
4,0.946702353835413,0.9605261581705896,0.013823804335176604,0.014602059748950316,0.5380051250004427,0.5950691299158375,0.05706400491539476,0.10606591324822008
5,0.9381458401967792,0.9537527665991878,0.015606926402408683,0.016635927735004483,0.5079033474497758,0.5653082267031225,0.0574048792533467,0.11302323471893083
6,0.928537769291962,0.9460447651709232,0.017506995878961207,0.01885437131147699,0.4771338226221855,0.5349077423779227,0.0577739197557372,0.1210853580620819
7,0.9177589154291824,0.9372428999122314,0.019483984483049,0.021229959366766242,0.4460858070736694,0.504141789707764,0.058055982634094616,0.1301453256604214
8,0.905665633344459,0.9274515941718796,0.02178596082742057,0.024055192143008636,0.4150332085202154,0.4730849424669197,0.058051733946704265,0.13987250358515993
9,0.8923623099484017,0.9167363903059768,0.024374080357575045,0.027314107830242636,0.3838570770063981,0.4419300239085221,0.058072946902124,0.15128794121765285
10,0.8775866942185793,0.9049085597519896,0.027321865533410317,0.03113295326080377,0.3530838579837437,0.4109112861835144,0.057827428199770714,0.16377817023408967
11,0.8611277700648037,0.8917810207854362,0.03065325072063252,0.0355966347692233,0.3230881908735633,0.38017763094262863,0.057089440069065356,0.17669924708392276
12,0.8429417436255248,0.8771298584065329,0.03418811478100814,0.04055809910891795,0.29391323081749293,0.34952787026714677,0.055614639449653835,0.18922128580250291
13,0.8227245636177865,0.8606419268062964,0.03791736318850991,0.046087554529519556,0.26584392007085356,0.3192774601193388,0.05343354004848522,0.20099590780275864
14,0.8003694678621306,0.8420279787481318,0.041658510886001254,0.05204910052013283,0.23894966873764684,0.2896293708446638,0.050679702107016944,0.21209362781189028
15,0.7755143329629642,0.8209107502321976,0.04539641726923338,0.05853717376929686,0.21329062257378403,0.2607284813579104,0.04743785878412635,0.22240949091756754
16,0.7482886244706874,0.7971735313071984,0.04888490683651092,0.06532894559380795,0.1886545637096307,0.23300470168920048,0.04435013797956977,0.23508648350448424
17,0.7184566649843463,0.7706330538140228,0.05217638882967646,0.07262287535576453,0.16553762453858964,0.2067311667352478,0.04119354219665816,0.24884700569721685
18,0.6860272889887734,0.741382609787689,0.055355320798915586,0.08068967763733005,0.1439735229566492,0.1818992234371383,0.0379257004804891,0.2634213548550078
19,0.6513354182278277,0.7095650610809785,0.0582296428531508,0.08940039375040236,0.1240039175398332,0.15841662224759645,0.03441270470776325,0.27751304467223
20,0.6147882165330641,0.6756260041283082,0.06083778759524405,0.09895730913374153,0.10556845770975312,0.13648141980999445,0.03091296210024133,0.292823848816969
