utci_thres,year_1990_time_2G_apr2sep,year_2020_time_2G_apr2sep,cdf_percpoint_chg_time_2G_apr2sep,cdf_percent_chg_time_2G_apr2sep,year_1990_time_3G_oct2mar,year_2020_time_3G_oct2mar,cdf_percpoint_chg_time_3G_oct2mar,cdf_percent_chg_time_3G_oct2mar
-27,0.9999336043753078,0.9999511264252346,1.7522049926887995e-5,1.7523213391587744e-5,0.9768206529920236,0.9900054447308424,0.013184791738818813,0.013497658652520807
-26,0.99990445159771,0.9999320315758772,2.757997816715818e-5,2.758261364182264e-5,0.9737370379603862,0.9879717093119968,0.014234671351610606,0.014618599063898095
-25,0.999865912279668,0.9999045154988574,3.860321918935927e-5,3.860839610117815e-5,0.9704002177682988,0.985697693984352,0.015297476216053263,0.01576408984247139
-24,0.999817743837816,0.999868658728229,5.091489041308961e-5,5.092417165717825e-5,0.9667899354400972,0.9832098710080824,0.016419935567985267,0.016983974456158013
-23,0.9997518293534584,0.9998214833610334,6.965400757497076e-5,6.967129794602742e-5,0.9628700013843836,0.9804514004688092,0.017581399084425575,0.018259369446703713
-22,0.9996623845262744,0.999766838756062,1.0445422978755392e-4,1.0448950706198e-4,0.958651449817682,0.9774143335499796,0.01876288373229762,0.019572164352190755
-21,0.9995559141795364,0.9996942397795796,1.3832560004323202e-4,1.3838705577243627e-4,0.9540214620503752,0.9740739344412702,0.020052472390895026,0.02101889023313838
-20,0.9994204255114216,0.9996084751208024,1.8804960938079152e-4,1.8815866134070964e-4,0.9489226636266348,0.9703477975445172,0.021425133917882366,0.02257837728946091
-19,0.999242758529624,0.9995017553166702,2.589967870462173e-4,2.591930587791585e-4,0.943422944280378,0.9662106940903634,0.022787749809985436,0.024154330725300967
-18,0.9990000719334396,0.9993665023259952,3.664303925555723e-4,3.667971633339246e-4,0.9374289477233452,0.961578440193752,0.024149492470406875,0.025761411069134058
-17,0.9987003341726052,0.9991888603061284,4.885261335232371e-4,4.891618805033916e-4,0.930733774113247,0.9562932645821486,0.025559490468901602,0.027461655717021024
-16,0.9983140929841012,0.9989763890220096,6.622960379083498e-4,6.634144930566429e-4,0.9232116027375884,0.9501919336704968,0.026980330932908414,0.029224427913280074
-15,0.9978178399662406,0.9987108915289716,8.930515627310065e-4,8.950046060122771e-4,0.9147399524314486,0.9432065712972918,0.02846661886584323,0.031119903301672552
-14,0.9972006207284296,0.9983826284405372,0.0011820077121075245,0.0011853258888307732,0.905232445567382,0.9351801934144958,0.029947747847113737,0.03308293686749492
-13,0.996447862391055,0.9979959813883672,0.00154811899731222,0.0015536377323319122,0.8947996662395492,0.9259412026153424,0.0311415363757932,0.03480280285157842
-12,0.9955505168791338,0.9975403217078872,0.0019898048287534387,0.0019986980017760504,0.8834833695133522,0.9155436679044482,0.03206029839109603,0.03628851373711285
