daily_time,utci_thres,year_1990,year_2020,cdf_percpoint_chg,cdf_percent_chg
0G_24,17,0.45055513143616127,0.4824129560975393,0.03185782466137804,0.07070793880391515
0G_24,18,0.4237032466533083,0.45475747399376654,0.031054227340458262,0.07329239883278055
0G_24,19,0.39677698247838405,0.4264546291563617,0.02967764667797762,0.0747967951482529
0G_24,20,0.36969020489999777,0.3979645971571229,0.028274392257125136,0.07648131295437875
0G_24,21,0.34251425649809064,0.3695290685167625,0.02701481201867184,0.07887208052264662
0G_24,22,0.3150080427478408,0.3413764124604655,0.02636836971262474,0.08370697294777399
0G_24,23,0.2874040737070721,0.31341062743516257,0.026006553728090465,0.09048777003278269
0G_24,24,0.2592493052789995,0.2855068348363419,0.02625752955734245,0.10128293122747066
0G_24,25,0.23026217091502296,0.25737402925457326,0.027111858339550293,0.11774343233112217
0G_24,26,0.20088737799425796,0.2280731780514746,0.02718580005721663,0.1353285623449856
0G_24,27,0.1722183785600195,0.1976540565842293,0.02543567802420979,0.14769432993671608
0G_24,28,0.14605952455053606,0.1676818361254604,0.021622311574924336,0.14803766917263309
0G_24,29,0.12331510490892102,0.14060613653213602,0.017291031623215006,0.14021827768776537
0G_24,30,0.10391795340230506,0.11808487504972828,0.014166921647423225,0.13632795088426924
0G_24,31,0.08705746026101421,0.09914311180513947,0.012085651544125262,0.13882384700737035
0G_24,32,0.07200129087035216,0.08258449153117672,0.010583200660824563,0.14698626278632995
0G_24,33,0.0581461131956325,0.06748218664058245,0.009336073444949945,0.16056229611665945
0G_24,34,0.04561582581561733,0.05358417025942322,0.00796834444380589,0.1746837704092994
0G_24,35,0.03446601779669701,0.04069182470857969,0.006225806911882681,0.1806360963603785
0G_24,36,0.02481633774821007,0.02911410993605628,0.004297772187846209,0.17318317599687708
0G_24,37,0.01677409124047571,0.01930756779509378,0.00253347655461807,0.1510351003996459
0G_24,38,0.01047424922122666,0.01158867829337062,0.0011144290721439593,0.10639703606493395
0G_24,39,0.00587109796759378,0.00626169724684237,3.9059927924859055e-4,0.06652917076235987
0G_24,40,0.00293448656319927,0.00294101410807161,6.527544872340051e-6,0.00222442486334765
1G_6t22,-40,0.9994214661168342,0.9998921846038278,4.707184869935377e-4,4.7099097122905884e-4
1G_6t22,-39,0.9992164269820684,0.9998497549976776,6.333280156092247e-4,6.338246635136536e-4
1G_6t22,-38,0.998957217397564,0.9997920474012169,8.348300036528089e-4,8.357014585946618e-4
