utci_thres,year_1990_time_0G_24,year_2020_time_0G_24,cdf_percpoint_chg_time_0G_24,cdf_percent_chg_time_0G_24,year_1990_time_1G_6t22,year_2020_time_1G_6t22,cdf_percpoint_chg_time_1G_6t22,cdf_percent_chg_time_1G_6t22
-28,0.990904821384524,0.995182312610298,0.004277491225774033,0.004316752864111999,0.9937414868957428,0.99645300633316225,0.0027115194374194296,0.0027285963937056655
-27,0.989470634999467,0.9942544617218416,0.004783826722374651,0.004834733394970562,0.992702392325756,0.9957688181109198,0.0030664257851638066,0.003088967860729761
-26,0.987916217115227,0.9932079463159422,0.0052917292007151895,0.0053564554453487435,0.991565190162744,0.994990323878041,0.0034251337152969574,0.003454269824392278
-25,0.9862324284510792,0.992049267316046,0.005816838864966867,0.0058980405603803404,0.9903080080166856,0.9941167036183786,0.0038086956016929463,0.0038459707190702367
-24,0.9843991483321138,0.990776060278555,0.006376911946441188,0.006477973855671971,0.9889423023121412,0.9931578606941796,0.0042155583820383535,0.004262693963219495
-23,0.9824068336824414,0.9893560095644188,0.00694917588197741,0.007073623313397777,0.987429908404268,0.9920876584939629,0.004657750089694823,0.004717043761842257
-22,0.9802576401674038,0.9877779350927226,0.0075202949253188045,0.007671753442324126,0.9857985518092044,0.9908983179163884,0.0050997661071839895,0.005173233514925085
-21,0.9778984830921564,0.9860329005064632,0.00813441741430676,0.008318263659214797,0.9840251054349664,0.9895923151010314,0.005567209666065054,0.005657589054706275
-20,0.9753094904433992,0.9840953847879014,0.008785894344502165,0.009008314212658677,0.9820695603973704,0.9881449759080182,0.00607541551064783,0.006186339293715164
-19,0.9724708632308308,0.981929835439584,0.009458972208753247,0.00972674099183578,0.9799264262785764,0.9865272801540356,0.006600853875459167,0.006736070891084079
-18,0.9693030961895978,0.979471493914104,0.010168397724506284,0.010490421174221984,0.9775371741902662,0.9846908476978729,0.0071536735076066504,0.007318057764434717
-17,0.9657039837421344,0.97662747385189,0.010923490109755574,0.011311426993835827,0.9747919953509252,0.9825709157748196,0.0077789204238943865,0.007980082377568124
-16,0.9616048386390368,0.9733566117325384,0.011751773093501616,0.012221000374887827,0.9716785230259848,0.9801527959583464,0.008474272932361582,0.008721272243386778
-15,0.9569623487232284,0.9695815919900578,0.012619243266829394,0.013186770914932953,0.9681531571516973,0.9773852835135832,0.009232126361885973,0.00953581186374153
-14,0.9517127445957952,0.9651985215638752,0.013485776968079954,0.014170007751453974,0.964177330269633,0.9742182560748868,0.010040925805253731,0.010413982459477425
-13,0.9458152484393596,0.9601494341231264,0.014334185683766765,0.015155375965252047,0.9597582456472936,0.9706131573090132,0.01085491166171959,0.011310047828136834
-12,0.9393195247656831,0.954501246621236,0.015181721855552888,0.01616246810087337,0.9548964423665964,0.9666142390534106,0.011717796686814164,0.012271274838738543
-11,0.9322865787765048,0.9482921512031252,0.016005572426620374,0.017168081994299908,0.9496049050747356,0.9622155863021464,0.012610681227410825,0.013279924271682592
-10,0.9247570127283964,0.9416553847764054,0.016898372048009036,0.018273310518783958,0.9439159773070288,0.9574242744891344,0.013508297182105555,0.014310910617960325
-9,0.9166062685596504,0.9345353100843548,0.017929041524704314,0.019560243192399178,0.937705469556962,0.9522242991891336,0.01451882963217166,0.015483358158325956
-8,0.907907473866813,0.9268954943113352,0.01898802044452219,0.020914047952101857,0.9309965592616528,0.9466393863817892,0.015642827120136427,0.016802239454614433
-7,0.8985589167334039,0.9187462991144127,0.02018738238100881,0.02246639814604195,0.9237780420597538,0.9405940032536476,0.016815961193893836,0.01820346493233286
-6,0.8884874245704061,0.9099666743006846,0.021479249730278482,0.024175074555122654,0.9158971127094628,0.9339920163990778,0.018094903689614972,0.019756480764619423
-5,0.8776421012006606,0.9005418570943555,0.022899755893694973,0.02609236255002683,0.9073221215242102,0.9267972383835896,0.019475116859379416,0.021464391088209304
-4,0.8660070597295759,0.8904029672814233,0.024395907551847396,0.028170564290163402,0.8980235989947393,0.9189853553684568,0.020961756373717555,0.02334209969223799
-3,0.8535349388923136,0.8795261333763924,0.025991194484078828,0.03045123673297926,0.8879403020808307,0.9105019249088934,0.022561622828062622,0.025408941091187003
-2,0.8402389330296809,0.867807215157569,0.02756828212788809,0.03281005086075232,0.8771208818997182,0.9012646419857732,0.02414376008605501,0.02752614899985403
-1,0.8261570515890189,0.8552305489654661,0.029073497376447266,0.035191247621172886,0.8654917051734524,0.8913143356336388,0.025822630460186402,0.029835791961762722
0,0.811261335730797,0.8417583089650239,0.030496973234226954,0.03759204573302486,0.8530256700895134,0.8805628827743655,0.027537212684852097,0.03228181009132169
1,0.7955349689926942,0.8272819799131893,0.031747010920495145,0.03990649331316408,0.839679331911921,0.8688409327243587,0.029161600812437682,0.03472944933161296
2,0.7789461348859181,0.811847787666143,0.03290165278022483,0.0422386751877824,0.8253625909322377,0.8561984475471647,0.030835856614926938,0.03736037585626238
3,0.7614106166504147,0.7954326425531086,0.034022025902693986,0.04468288878392993,0.8100493829387478,0.8425665089974875,0.03251712605873969,0.04014215274230816
4,0.74291359863551,0.7781310902368767,0.03521749160136667,0.04740455911165136,0.793774812302946,0.8280172454554137,0.034242433152467666,0.04313872476391826
5,0.7236139671010131,0.7598849168517903,0.03627094975077716,0.0501247231256302,0.7766837990863309,0.8124693337903964,0.035785534704065536,0.04607477939692142
6,0.7034541575278542,0.7408513787952195,0.03739722126736522,0.053162272007589106,0.7586177538975558,0.7960302796136308,0.03741252571607501,0.049316702020036324
7,0.6825684887971184,0.7210875100565347,0.03851902125941631,0.056432463396160995,0.7396336983083086,0.7786711478615774,0.03903744955326882,0.052779436148671074
8,0.6610215201444253,0.700682836432269,0.03966131628784375,0.06000003794003292,0.7198749997855348,0.7604515862947058,0.04057658650917095,0.05636615595938119
9,0.6388062759882793,0.6797664245948384,0.040960148606559055,0.06411982810154887,0.6993531060003793,0.7414517672759805,0.042098661275601246,0.06019657439768118
10,0.6160537731370996,0.6583606504071394,0.04230687727003979,0.06867400073633606,0.6781479184233806,0.721645157852615,0.043497239429234336,0.06414122678480033
11,0.5928450209886236,0.6364461172781226,0.04360109628949904,0.0735455215880707,0.6563184944063727,0.7011533403940496,0.04483484598767695,0.06831263535888807
12,0.5691795810746705,0.6138102530121494,0.04463067193747894,0.07841228572046026,0.6338735525403247,0.6797286321291766,0.04585507958885182,0.07234105194179827
13,0.5450470920409596,0.5904536391441013,0.04540654710314174,0.08330756693538967,0.6108385225659448,0.6575712443131427,0.04673272174719789,0.07650585223552715
14,0.5204286365178674,0.5663326881247769,0.04590405160690947,0.08820431541593982,0.5872276291554062,0.6345943415648085,0.04736671240940238,0.08066158684925752
15,0.4951726472346607,0.541330731003881,0.04615808376922026,0.09321614193957303,0.5629939497779911,0.6107529240175532,0.0477589742395621,0.08483035076734874
16,0.4692382160912016,0.5156038690799677,0.046365652988766104,0.09881047919539962,0.5379921121192581,0.5861010043887581,0.04810889226949999,0.08942304391785501
17,0.4427545681045444,0.4891966192956926,0.04644205119114819,0.10489344331323121,0.5123164582660092,0.560616627836004,0.04830016956999472,0.09427799710646013
18,0.4157429453782347,0.4621513941547043,0.0464084487764696,0.11162774808902197,0.48586866676822793,0.5343391143026646,0.048470447534436634,0.09976038968892453
19,0.38839203980258113,0.4344937143274566,0.04610167452487546,0.11869881408565645,0.45865154155517074,0.507187579166116,0.04853603761094527,0.10582333910046811
20,0.36087589843486523,0.4065456322103177,0.04566973377545247,0.1265524629755662,0.4308024581329962,0.479441785922135,0.048639327789138764,0.11290401637894776
21,0.33331830510090504,0.37842078563794224,0.04510248053703719,0.13531354218119937,0.40256620941405064,0.45111630893837434,0.04855009952432371,0.12060152687675922
22,0.3055171200393536,0.3502735628334214,0.04475644279406782,0.14649405829795314,0.37370443915205953,0.4224119796030688,0.04870754045100928,0.13033706680479193
23,0.27742252677526746,0.3219251544535467,0.04450262767827923,0.16041461447119473,0.3443364841174996,0.3932099847897745,0.04887350067227486,0.14193529563831384
24,0.2490222118361043,0.2935200952456795,0.04449788340957522,0.1786904191456697,0.31454026443730415,0.3636696629281525,0.04912939849084835,0.15619430656592803
25,0.220330924442548,0.26483310695207,0.04450218250952201,0.2019788308069578,0.2843823760578775,0.33388690285782346,0.04950452679994599,0.17407733730261413
