daily_time,utci_thres,cdf,pmf,year
0G_24,-26,0.9939682544470382,0.0010236553524993752,2020
0G_24,-25,0.9928205661409396,0.001147688306098571,2020
0G_24,-24,0.9915620851253064,0.001258481015633195,2020
0G_24,-23,0.9901629762750476,0.0013991088502588456,2020
0G_24,-22,0.9886212060231662,0.0015417702518814025,2020
0G_24,-21,0.9869191834191076,0.0017020226040586062,2020
0G_24,-20,0.9850182194526274,0.001900963966480207,2020
0G_24,-19,0.9829018288969776,0.0021163905556497165,2020
0G_24,-18,0.980524235728548,0.0023775931684296703,2020
0G_24,-17,0.9777998235341714,0.0027244121943765798,2020
0G_24,-16,0.9746509893672826,0.0031488341668888253,2020
0G_24,-15,0.9710347647285176,0.0036162246387649866,2020
0G_24,-14,0.9668679896056344,0.004166775122883215,2020
0G_24,-13,0.9620672971782562,0.004800692427378128,2020
